block,plot,sub,bkgrd,dens,phyto,phyto.n.indiv,phyto.date.census,phyto.date.collect,phyto.unique,Nbrhood.size,bkgrd.n.indiv,bg.date.census,CRCO,ERBO,FIGA,GAMU,HYGL,SIGA,other,notes,plot.notes,sub.notes,unique
1,1,1,ACAM,L,GITR,1,04/19/2022,04/19/2022,,10,3,04/19/2022,0,0,0,0,0,0,1,Other= small grassy species,,,1
1,1,2,ACAM,L,BRNI,1,04/27/2022,04/27/2022,,18,5,04/27/2022,29,0,0,0,0,2,3,,,,2
1,1,3,ACAM,L,ANAR,,,,,10,,,,,,,,,,,,,3
1,1,4,ACAM,L,AMME,1,04/04/2022,04/04/2022,,18,2,04/04/2022,94,0,0,0,0,1,2,,,,4
1,1,5,ACAM,L,empty,,,,,,,,,,,,,,,,,,5
1,1,6,ACAM,L,MAEL,,,,,18,,,,,,,,,,,,,6
1,1,7,ACAM,L,THIR-I,,,,,18,,,,,,,,,,,,,7
1,1,8,ACAM,L,LOMU,,,,,10,,,,,,,,,,,,,8
1,1,9,ACAM,L,CESO,,,,,18,,,,,,,,,,,,,9
1,1,10,ACAM,L,PLER,1,04/19/2022,04/19/2022,B,,2,04/19/2022,2,0,0,0,0,0,0,,,,11696
1,1,10,ACAM,L,PLER,2,04/19/2022,04/19/2022,A,10,2,04/19/2022,0,0,1,0,0,0,0,,,,10
1,1,11,ACAM,L,empty,,,,,,,,,,,,,,,,,,11
1,1,12,ACAM,L,PLNO,1,04/24/2022,04/24/2022,,18,7,04/24/2022,16,0,2,1,0,1,1,other = THIR,,,12
1,1,13,ACAM,L,VIVI,-9999,,,,,,,,,,,,,,,,,13
1,1,14,ACAM,L,empty,,,,,,,,,,,,,,,,,,14
1,1,15,ACAM,L,empty,,,,,,,,,,,,,,,,,,15
1,1,16,ACAM,L,empty,,,,,,,,,,,,,,,,,,16
1,1,17,ACAM,L,LENI,2,03/24/2022,03/24/2022,,18,10,03/24/2022,25,0,0,0,0,0,1,,,,17
1,1,18,ACAM,L,CLPU,,,,,10,,,,,,,,,,,,,18
1,1,19,ACAM,L,AVBA,0,05/04/2022,,,,1,05/04/2022,25,0,0,0,0,0,1,other= lactuca,,,19
1,1,20,ACAM,L,MICA,1,04/04/2022,04/13/2022,B,10,0,04/04/2022,18,0,0,0,0,0,0,CORRECTED. seems was not originally collected. CE collected 4/13. Need manual Change in MASTER,,,11548
1,1,20,ACAM,L,MICA,1,04/04/2022,04/13/2022,A,10,2,04/04/2022,10,0,0,0,0,1,0,Phyto not ready to collect ,,,20
1,1,21,ACAM,L,ACAM,,,,,10,,,,,,,,,,,,,21
1,1,22,ACAM,L,TACA,,,,,10,,,,,,,,,,,,,22
1,1,23,ACAM,L,BRHO,2,04/24/2022,04/24/2022,,10,2,04/24/2022,3,0,0,0,0,0,2,Other =dandalion + small true leaves,,,23
1,1,24,ACAM,L,ERBO,-9999,,,,,,,,,,,,,,,,,24
1,1,25,ACAM,L,TWIL-I,1,04/13/2022,04/13/2022,,18,2,04/13/2022,46,0,0,0,0,0,4,,,,25
1,2,1,ANAR,L,MAEL,2,05/06/2022,,,18,17,05/06/2022,16,0,0,1,0,1,1,other = small ACAM.,,,26
1,2,2,ANAR,L,BRHO,3,04/24/2022,04/24/2022,,10,37,04/24/2022,11,0,0,0,0,0,2,other= small cesos ?,,,27
1,2,3,ANAR,L,PLER,3,04/19/2022,04/19/2022,,10,29,04/19/2022,19,0,1,0,0,1,0,,,,28
1,2,4,ANAR,L,ERBO,-9999,,,,,,,,,,,,,,,,,29
1,2,5,ANAR,L,ACAM,0,05/06/2022,,,10,11,05/06/2022,12,0,0,0,8,0,2,,,,30
1,2,6,ANAR,L,TWIL-I,0,04/13/2022,,,18,21,04/13/2022,27,0,0,0,0,1,0,,,,31
1,2,7,ANAR,L,empty,,,,,,,,,,,,,,,,,,32
1,2,8,ANAR,L,LENI,2,03/24/2022,03/24/2022,,18,66,03/24/2022,56,0,0,0,0,2,0,,,,33
1,2,9,ANAR,L,empty,,,,,,,,,,,,,,,,,,34
1,2,10,ANAR,L,empty,,,,,,,,,,,,,,,,,,35
1,2,11,ANAR,L,PLNO,0,04/24/2022,,,18,38,04/24/2022,53,0,1,1,0,4,1,other= small ceso?,,,36
1,2,12,ANAR,L,LOMU,1,05/06/2022,,B,10,8,05/06/2022,5,0,0,2,0,0,0,phyto is the most western phyto near GAMU patch. ,,,11756
