"","treatment","phyto","bkgrd","bad.reps","tot.reps","combos","true.reps"
"1","C","ACAM","ACAM",0,9,"ACAM_ACAM_C",9
"2","C","ACAM","AMME",1,5,"ACAM_AMME_C",4
"3","C","ACAM","ANAR",0,4,"ACAM_ANAR_C",4
"4","C","ACAM","AVBA",3,8,"ACAM_AVBA_C",5
"5","C","ACAM","BRHO",0,3,"ACAM_BRHO_C",3
"6","C","ACAM","BRNI",0,6,"ACAM_BRNI_C",6
"7","C","ACAM","CESO",0,2,"ACAM_CESO_C",2
"8","C","ACAM","CLPU",0,4,"ACAM_CLPU_C",4
"9","C","ACAM","GITR",0,5,"ACAM_GITR_C",5
"10","C","ACAM","LENI",0,7,"ACAM_LENI_C",7
"11","C","ACAM","LOMU",0,4,"ACAM_LOMU_C",4
"12","C","ACAM","MAEL",1,5,"ACAM_MAEL_C",4
"13","C","ACAM","MICA",0,5,"ACAM_MICA_C",5
"14","C","ACAM","PLER",0,8,"ACAM_PLER_C",8
"15","C","ACAM","PLNO",2,6,"ACAM_PLNO_C",4
"16","C","ACAM","TACA",0,4,"ACAM_TACA_C",4
"17","C","ACAM","THIR",0,2,"ACAM_THIR_C",2
"18","C","ACAM","TWIL",1,5,"ACAM_TWIL_C",4
"19","C","AMME","ACAM",1,2,"AMME_ACAM_C",1
"20","C","AMME","AMME",0,10,"AMME_AMME_C",10
"21","C","AMME","ANAR",0,5,"AMME_ANAR_C",5
"22","C","AMME","AVBA",0,4,"AMME_AVBA_C",4
"23","C","AMME","BRHO",0,6,"AMME_BRHO_C",6
"24","C","AMME","BRNI",0,5,"AMME_BRNI_C",5
"25","C","AMME","CESO",0,2,"AMME_CESO_C",2
"26","C","AMME","CLPU",0,4,"AMME_CLPU_C",4
"27","C","AMME","GITR",0,3,"AMME_GITR_C",3
"28","C","AMME","LENI",0,5,"AMME_LENI_C",5
"29","C","AMME","LOMU",0,4,"AMME_LOMU_C",4
"30","C","AMME","MAEL",0,3,"AMME_MAEL_C",3
"31","C","AMME","MICA",0,5,"AMME_MICA_C",5
"32","C","AMME","PLER",0,3,"AMME_PLER_C",3
"33","C","AMME","PLNO",1,3,"AMME_PLNO_C",2
"34","C","AMME","TACA",0,3,"AMME_TACA_C",3
"35","C","AMME","THIR",0,3,"AMME_THIR_C",3
"36","C","AMME","TWIL",0,2,"AMME_TWIL_C",2
"37","C","ANAR","ACAM",0,9,"ANAR_ACAM_C",9
"38","C","ANAR","AMME",0,9,"ANAR_AMME_C",9
"39","C","ANAR","ANAR",0,10,"ANAR_ANAR_C",10
"40","C","ANAR","AVBA",7,8,"ANAR_AVBA_C",1
"41","C","ANAR","BRHO",0,5,"ANAR_BRHO_C",5
"42","C","ANAR","BRNI",0,12,"ANAR_BRNI_C",12
"43","C","ANAR","CESO",1,8,"ANAR_CESO_C",7
"44","C","ANAR","CLPU",0,11,"ANAR_CLPU_C",11
"45","C","ANAR","GITR",0,7,"ANAR_GITR_C",7
"46","C","ANAR","LENI",0,9,"ANAR_LENI_C",9
"47","C","ANAR","LOMU",0,10,"ANAR_LOMU_C",10
"48","C","ANAR","MAEL",4,13,"ANAR_MAEL_C",9
"49","C","ANAR","MICA",0,7,"ANAR_MICA_C",7
"50","C","ANAR","PLER",0,8,"ANAR_PLER_C",8
"51","C","ANAR","PLNO",1,10,"ANAR_PLNO_C",9
"52","C","ANAR","TACA",0,8,"ANAR_TACA_C",8
"53","C","ANAR","THIR",0,12,"ANAR_THIR_C",12
"54","C","ANAR","TWIL",1,11,"ANAR_TWIL_C",10
"55","C","AVBA","AMME",0,3,"AVBA_AMME_C",3
"56","C","AVBA","ANAR",0,4,"AVBA_ANAR_C",4
"57","C","AVBA","AVBA",0,9,"AVBA_AVBA_C",9
"58","C","AVBA","BRHO",0,4,"AVBA_BRHO_C",4
"59","C","AVBA","BRNI",0,1,"AVBA_BRNI_C",1
"60","C","AVBA","CESO",0,2,"AVBA_CESO_C",2
"61","C","AVBA","CLPU",0,3,"AVBA_CLPU_C",3
"62","C","AVBA","GITR",0,3,"AVBA_GITR_C",3
"63","C","AVBA","LENI",0,4,"AVBA_LENI_C",4
"64","C","AVBA","LOMU",0,1,"AVBA_LOMU_C",1
"65","C","AVBA","MAEL",0,2,"AVBA_MAEL_C",2
"66","C","AVBA","MICA",0,3,"AVBA_MICA_C",3
"67","C","AVBA","PLER",0,3,"AVBA_PLER_C",3
"68","C","AVBA","PLNO",1,3,"AVBA_PLNO_C",2
"69","C","AVBA","TACA",0,2,"AVBA_TACA_C",2
"70","C","AVBA","THIR",0,2,"AVBA_THIR_C",2
"71","C","AVBA","TWIL",0,3,"AVBA_TWIL_C",3
"72","C","BRHO","ACAM",2,11,"BRHO_ACAM_C",9
"73","C","BRHO","AMME",2,10,"BRHO_AMME_C",8
"74","C","BRHO","ANAR",0,10,"BRHO_ANAR_C",10
"75","C","BRHO","AVBA",7,14,"BRHO_AVBA_C",7
"76","C","BRHO","BRHO",0,10,"BRHO_BRHO_C",10
"77","C","BRHO","BRNI",0,11,"BRHO_BRNI_C",11
"78","C","BRHO","CESO",0,9,"BRHO_CESO_C",9
"79","C","BRHO","CLPU",0,11,"BRHO_CLPU_C",11
"80","C","BRHO","GITR",1,11,"BRHO_GITR_C",10
"81","C","BRHO","LENI",0,9,"BRHO_LENI_C",9
"82","C","BRHO","LOMU",0,10,"BRHO_LOMU_C",10
"83","C","BRHO","MAEL",4,10,"BRHO_MAEL_C",6
"84","C","BRHO","MICA",0,10,"BRHO_MICA_C",10
"85","C","BRHO","PLER",0,11,"BRHO_PLER_C",11
"86","C","BRHO","PLNO",4,11,"BRHO_PLNO_C",7
"87","C","BRHO","TACA",0,10,"BRHO_TACA_C",10
"88","C","BRHO","THIR",0,12,"BRHO_THIR_C",12
"89","C","BRHO","TWIL",1,12,"BRHO_TWIL_C",11
"90","C","BRNI","ACAM",1,7,"BRNI_ACAM_C",6
"91","C","BRNI","AMME",2,10,"BRNI_AMME_C",8
"92","C","BRNI","ANAR",0,6,"BRNI_ANAR_C",6
"93","C","BRNI","AVBA",3,6,"BRNI_AVBA_C",3
