"","treatment","phyto","bkgrd","reps","combos"
"1","C","ACAM","ACAM",9,"ACAM_ACAM_C"
"2","C","ACAM","AMME",5,"ACAM_AMME_C"
"3","C","ACAM","ANAR",4,"ACAM_ANAR_C"
"4","C","ACAM","AVBA",8,"ACAM_AVBA_C"
"5","C","ACAM","BRHO",3,"ACAM_BRHO_C"
"6","C","ACAM","BRNI",6,"ACAM_BRNI_C"
"7","C","ACAM","CESO",2,"ACAM_CESO_C"
"8","C","ACAM","CLPU",4,"ACAM_CLPU_C"
"9","C","ACAM","GITR",5,"ACAM_GITR_C"
"10","C","ACAM","LENI",7,"ACAM_LENI_C"
"11","C","ACAM","LOMU",4,"ACAM_LOMU_C"
"12","C","ACAM","MAEL",5,"ACAM_MAEL_C"
"13","C","ACAM","MICA",5,"ACAM_MICA_C"
"14","C","ACAM","PLER",8,"ACAM_PLER_C"
"15","C","ACAM","PLNO",6,"ACAM_PLNO_C"
"16","C","ACAM","TACA",4,"ACAM_TACA_C"
"17","C","ACAM","THIR",2,"ACAM_THIR_C"
"18","C","ACAM","TWIL",5,"ACAM_TWIL_C"
"19","C","AMME","ACAM",2,"AMME_ACAM_C"
"20","C","AMME","AMME",10,"AMME_AMME_C"
"21","C","AMME","ANAR",5,"AMME_ANAR_C"
"22","C","AMME","AVBA",4,"AMME_AVBA_C"
"23","C","AMME","BRHO",6,"AMME_BRHO_C"
"24","C","AMME","BRNI",5,"AMME_BRNI_C"
"25","C","AMME","CESO",2,"AMME_CESO_C"
"26","C","AMME","CLPU",4,"AMME_CLPU_C"
"27","C","AMME","GITR",3,"AMME_GITR_C"
"28","C","AMME","LENI",5,"AMME_LENI_C"
"29","C","AMME","LOMU",4,"AMME_LOMU_C"
"30","C","AMME","MAEL",3,"AMME_MAEL_C"
"31","C","AMME","MICA",5,"AMME_MICA_C"
"32","C","AMME","PLER",3,"AMME_PLER_C"
"33","C","AMME","PLNO",3,"AMME_PLNO_C"
"34","C","AMME","TACA",3,"AMME_TACA_C"
"35","C","AMME","THIR",3,"AMME_THIR_C"
"36","C","AMME","TWIL",2,"AMME_TWIL_C"
"37","C","ANAR","ACAM",9,"ANAR_ACAM_C"
"38","C","ANAR","AMME",9,"ANAR_AMME_C"
"39","C","ANAR","ANAR",10,"ANAR_ANAR_C"
"40","C","ANAR","AVBA",8,"ANAR_AVBA_C"
"41","C","ANAR","BRHO",5,"ANAR_BRHO_C"
"42","C","ANAR","BRNI",12,"ANAR_BRNI_C"
"43","C","ANAR","CESO",8,"ANAR_CESO_C"
"44","C","ANAR","CLPU",11,"ANAR_CLPU_C"
"45","C","ANAR","GITR",7,"ANAR_GITR_C"
"46","C","ANAR","LENI",9,"ANAR_LENI_C"
"47","C","ANAR","LOMU",10,"ANAR_LOMU_C"
"48","C","ANAR","MAEL",13,"ANAR_MAEL_C"
"49","C","ANAR","MICA",7,"ANAR_MICA_C"
"50","C","ANAR","PLER",8,"ANAR_PLER_C"
"51","C","ANAR","PLNO",10,"ANAR_PLNO_C"
"52","C","ANAR","TACA",8,"ANAR_TACA_C"
"53","C","ANAR","THIR",12,"ANAR_THIR_C"
"54","C","ANAR","TWIL",11,"ANAR_TWIL_C"
"55","C","AVBA","AMME",3,"AVBA_AMME_C"
"56","C","AVBA","ANAR",4,"AVBA_ANAR_C"
"57","C","AVBA","AVBA",9,"AVBA_AVBA_C"
"58","C","AVBA","BRHO",4,"AVBA_BRHO_C"
"59","C","AVBA","BRNI",1,"AVBA_BRNI_C"
"60","C","AVBA","CESO",2,"AVBA_CESO_C"
"61","C","AVBA","CLPU",3,"AVBA_CLPU_C"
"62","C","AVBA","GITR",3,"AVBA_GITR_C"
"63","C","AVBA","LENI",4,"AVBA_LENI_C"
"64","C","AVBA","LOMU",1,"AVBA_LOMU_C"
"65","C","AVBA","MAEL",2,"AVBA_MAEL_C"
"66","C","AVBA","MICA",3,"AVBA_MICA_C"
"67","C","AVBA","PLER",3,"AVBA_PLER_C"
"68","C","AVBA","PLNO",3,"AVBA_PLNO_C"
"69","C","AVBA","TACA",2,"AVBA_TACA_C"
"70","C","AVBA","THIR",2,"AVBA_THIR_C"
"71","C","AVBA","TWIL",3,"AVBA_TWIL_C"
"72","C","BRHO","ACAM",11,"BRHO_ACAM_C"
"73","C","BRHO","AMME",10,"BRHO_AMME_C"
"74","C","BRHO","ANAR",10,"BRHO_ANAR_C"
"75","C","BRHO","AVBA",14,"BRHO_AVBA_C"
"76","C","BRHO","BRHO",10,"BRHO_BRHO_C"
"77","C","BRHO","BRNI",11,"BRHO_BRNI_C"
"78","C","BRHO","CESO",9,"BRHO_CESO_C"
"79","C","BRHO","CLPU",11,"BRHO_CLPU_C"
"80","C","BRHO","GITR",11,"BRHO_GITR_C"
"81","C","BRHO","LENI",9,"BRHO_LENI_C"
"82","C","BRHO","LOMU",10,"BRHO_LOMU_C"
"83","C","BRHO","MAEL",10,"BRHO_MAEL_C"
"84","C","BRHO","MICA",10,"BRHO_MICA_C"
"85","C","BRHO","PLER",11,"BRHO_PLER_C"
"86","C","BRHO","PLNO",11,"BRHO_PLNO_C"
"87","C","BRHO","TACA",10,"BRHO_TACA_C"
"88","C","BRHO","THIR",12,"BRHO_THIR_C"
"89","C","BRHO","TWIL",12,"BRHO_TWIL_C"
"90","C","BRNI","ACAM",7,"BRNI_ACAM_C"
"91","C","BRNI","AMME",10,"BRNI_AMME_C"
"92","C","BRNI","ANAR",6,"BRNI_ANAR_C"
"93","C","BRNI","AVBA",6,"BRNI_AVBA_C"
"94","C","BRNI","BRHO",6,"BRNI_BRHO_C"
"95","C","BRNI","BRNI",2,"BRNI_BRNI_C"
"96","C","BRNI","CESO",3,"BRNI_CESO_C"
"97","C","BRNI","CLPU",6,"BRNI_CLPU_C"
"98","C","BRNI","GITR",4,"BRNI_GITR_C"
"99","C","BRNI","LENI",4,"BRNI_LENI_C"
"100","C","BRNI","LOMU",4,"BRNI_LOMU_C"
"101","C","BRNI","MAEL",7,"BRNI_MAEL_C"
"102","C","BRNI","MICA",6,"BRNI_MICA_C"
"103","C","BRNI","PLER",7,"BRNI_PLER_C"
"104","C","BRNI","PLNO",6,"BRNI_PLNO_C"
"105","C","BRNI","TACA",5,"BRNI_TACA_C"
"106","C","BRNI","THIR",9,"BRNI_THIR_C"
"107","C","BRNI","TWIL",7,"BRNI_TWIL_C"
"108","C","CESO","ACAM",9,"CESO_ACAM_C"
"109","C","CESO","AMME",7,"CESO_AMME_C"
"110","C","CESO","ANAR",9,"CESO_ANAR_C"
"111","C","CESO","AVBA",7,"CESO_AVBA_C"
"112","C","CESO","BRHO",9,"CESO_BRHO_C"
"113","C","CESO","BRNI",7,"CESO_BRNI_C"
"114","C","CESO","CESO",9,"CESO_CESO_C"
"115","C","CESO","CLPU",8,"CESO_CLPU_C"
"116","C","CESO","GITR",5,"CESO_GITR_C"
"117","C","CESO","LENI",7,"CESO_LENI_C"
"118","C","CESO","LOMU",8,"CESO_LOMU_C"
"119","C","CESO","MAEL",6,"CESO_MAEL_C"
"120","C","CESO","MICA",8,"CESO_MICA_C"
"121","C","CESO","PLER",6,"CESO_PLER_C"
"122","C","CESO","PLNO",8,"CESO_PLNO_C"
"123","C","CESO","TACA",7,"CESO_TACA_C"
"124","C","CESO","THIR",4,"CESO_THIR_C"
"125","C","CESO","TWIL",7,"CESO_TWIL_C"
"126","C","CLPU","ACAM",3,"CLPU_ACAM_C"
"127","C","CLPU","AMME",1,"CLPU_AMME_C"
"128","C","CLPU","ANAR",4,"CLPU_ANAR_C"
