"","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","comp","richness","fdiv"
"1",0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,"0111110010001110",9,5.2438807348945
"2",0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,"0111011010001110",9,4.41533264287532
"3",0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,"0111010110001110",9,4.97593335308924
"4",1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,"1111010010001110",9,5.48817150314091
"5",0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,"0111010011001110",9,4.7354880528416
"6",0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,"0111010010101110",9,4.91611731388708
"7",0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,"0111010010011110",9,4.41339120859449
"8",0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,"0111010010001111",9,4.90848815250988
"9",0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,"0111111000001110",9,4.81332329202051
"10",0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,"0111110100001110",9,5.40867670422891
"11",1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,"1111110000001110",9,5.92091485428058
"12",0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,"0111110001001110",9,5.17712368226531
"13",0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,"0111110000101110",9,5.34886066502675
"14",0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,"0111110000011110",9,4.8408223624362
"15",0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,"0111110000001111",9,5.34123150364955
"16",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,"0111011100001110",9,4.4822833296468
"17",1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,"1111011000001110",9,5.04490013041821
"18",0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,"0111011001001110",9,4.20660075827622
"19",0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,"0111011000101110",9,4.41960123912411
"20",0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,"0111011000011110",9,3.93382318821012
"21",0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,"0111011000001111",9,4.48390637067317
"22",1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,"1111010100001110",9,5.67006807164934
"23",0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,"0111010101001110",9,4.89481580435322
"24",0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,"0111010100101110",9,5.02709804888218
"25",0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,"0111010100011110",9,4.56371327314446
"26",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,"0111010100001111",9,4.95237519210871
"27",1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,"1111010001001110",9,5.40673781168396
"28",1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,"1111010000101110",9,5.61025203244718
"29",1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,"1111010000011110",9,5.09603576736032
"30",1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,"1111010000001111",9,5.60262287106998
