"","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","comp","richness","fdiv"
"1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,"1111111111101110",14,7.02372362008679
"2",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"1111111111011110",14,6.70397144846553
"3",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,"1111111111001111",14,7.13326915854668
"4",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,"1111111110111110",14,6.83071336110277
"5",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,"1111111110101111",14,7.25541583722011
"6",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"1111111110011111",14,6.84155212012891
"7",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"0111111111111110",14,5.90813529159789
"8",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"0111111111101111",14,6.33215005052608
"9",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"0111111111011111",14,6.02737505733448
"10",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"0111111110111111",14,6.14710709306449
"11",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,"1111111011111110",14,6.52273716712863
"12",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,"1111111011101111",14,7.05645634739088
"13",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"1111111011011111",14,6.71938148419137
"14",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,"1111111010111111",14,6.88445702657344
"15",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"0111111011111111",14,5.95448983598255
"16",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,"1111110111111110",14,7.09407440966371
"17",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,"1111110111101111",14,7.4859379315611
"18",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,"1111110111011111",14,7.19315156244721
"19",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,"1111110110111111",14,7.28396743783421
"20",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"0111110111111111",14,6.39532303267808
"21",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,"1111110011111111",14,7.09779287882125
"22",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,"1111011111111110",14,6.11063037772976
"23",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,"1111011111101111",14,6.53665560742904
"24",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,"1111011111011111",14,6.22987014346636
"25",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,"1111011110111111",14,6.36494895897356
"26",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"0111011111111111",14,5.43032359476296
"27",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,"1111011011111111",14,6.15698492211442
"28",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,"1111010111111111",14,6.61169887860296
"29",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,"1111111101111110",14,6.51334371296775
"30",1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"1111111101101111",14,6.94318055291369
"31",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"1111111101011111",14,6.63580860481871
"32",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,"1111111100111111",14,6.7592126003038
"33",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"0111111101111111",14,5.83303677559984
"34",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,"1111111001111111",14,6.55969940282712
"35",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"1111110101111111",14,7.04104646380611
"36",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,"1111011101111111",14,6.04199264169374
"37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"1111111111111100",14,6.94813546527135
"38",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,"1111111111101101",14,7.49375011807202
"39",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"1111111111011101",14,7.1430898177491
"40",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,"1111111110111101",14,7.30556496037022
"41",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"0111111111111101",14,6.36227464670073
"42",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"1111111011111101",14,7.00564592437837
"43",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,"1111110111111101",14,7.5631256581585
"44",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,"1111011111111101",14,6.56476973283261
"45",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,"1111111101111101",14,6.96748471600902
"46",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,"1111111111110110",14,6.98380819313073
"47",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,"1111111111100111",14,7.36061385201105
"48",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,"1111111111010111",14,7.10310516926707
"49",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,"1111111110110111",14,7.22694139923766
"50",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"0111111111110111",14,6.28650054536788
"51",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,"1111111011110111",14,6.99981180034897
"52",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,"1111110111110111",14,7.44443042939712
"53",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,"1111011111110111",14,6.48991730318542
"54",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,"1111111101110111",14,6.89458804306658
"55",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"1111111111110101",14,7.40909085873313
"56",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,"1111101111111110",14,6.69200234827443
"57",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"1111101111101111",14,7.11567943529935
"58",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"1111101111011111",14,6.82389166490121
"59",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,"1111101110111111",14,6.84033947115278
"60",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"0111101111111111",14,6.01039372694826
"61",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,"1111101011111111",14,6.73875465482717
"62",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,"1111100111111111",14,7.12084949297721
"63",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,"1111001111111111",14,6.01039372694826
"64",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,"1111101101111111",14,6.56721030362224
"65",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"1111101111111101",14,7.14920719218027
"66",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,"1111101111110111",14,7.07026227883842
"67",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"1011111111111110",14,6.65089985106694
"68",1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"1011111111101111",14,7.08462090953986
"69",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"1011111111011111",14,6.86697931383219
"70",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"1011111110111111",14,6.98159320777965
"71",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0011111111111111",14,6.05328532856407
"72",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"1011111011111111",14,6.79747943878515
"73",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"1011110111111111",14,7.21569027121798
"74",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"1011011111111111",14,6.25760116165815
"75",1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"1011111101111111",14,6.65961535251576
"76",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"1011111111111101",14,7.15935540744288
"77",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"1011111111110111",14,7.05936938387859
"78",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"1011101111111111",14,6.82481017397892
"79",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,"1110111111111110",14,7.02930508083258
"80",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,"1110111111101111",14,7.46164711394472
"81",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"1110111111011111",14,7.16595964629132
"82",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,"1110111110111111",14,7.2460726148372
"83",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"0110111111111111",14,6.34869494315014
"84",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,"1110111011111111",14,7.07692172335304
"85",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,"1110110111111111",14,7.50245926390954
"86",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,"1110011111111111",14,6.56041699237251
"87",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,"1110111101111111",14,6.55810676862197
"88",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,"1110111111111101",14,7.48735592519716
"89",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"1110111111110111",14,7.44079456015376
"90",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,"1110101111111111",14,7.12750676616409
"91",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"1010111111111111",14,7.17835655351945
"92",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,"1111111111111010",14,6.33641488603568
"93",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,"1111111111101011",14,6.77179586217519
"94",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"1111111111011011",14,6.45986142772742
"95",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,"1111111110111011",14,6.58641670015561
"96",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"0111111111111011",14,5.65562710602719
"97",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,"1111111011111011",14,6.38373113663799
"98",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,"1111110111111011",14,6.80615653938121
"99",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"1111011111111011",14,5.85812219215906
"100",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,"1111111101111011",14,6.28602906635762
"101",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"1111111111111001",14,6.79638876447654
