"","X1","X2","X3","X4","X5","X6"
"1","ANAR","BRHO","CESO","GITR","LENI","MICA"
"2","ANAR","BRHO","CESO","GITR","LENI","PLER"
"3","ANAR","BRHO","CESO","GITR","LENI","TACA"
"4","ANAR","BRHO","CESO","GITR","LENI","THIR"
"5","ANAR","BRHO","CESO","GITR","LENI","ACAM"
"6","ANAR","BRHO","CESO","GITR","LENI","AMME"
"7","ANAR","BRHO","CESO","GITR","LENI","BRNI"
"8","ANAR","BRHO","CESO","GITR","LENI","LOMU"
"9","ANAR","BRHO","CESO","GITR","LENI","MAEL"
"10","ANAR","BRHO","CESO","GITR","LENI","PLNO"
"11","ANAR","BRHO","CESO","GITR","LENI","TWIL"
"12","ANAR","BRHO","CESO","GITR","MICA","PLER"
"13","ANAR","BRHO","CESO","GITR","MICA","TACA"
"14","ANAR","BRHO","CESO","GITR","MICA","THIR"
"15","ANAR","BRHO","CESO","GITR","MICA","ACAM"
"16","ANAR","BRHO","CESO","GITR","MICA","AMME"
"17","ANAR","BRHO","CESO","GITR","MICA","BRNI"
"18","ANAR","BRHO","CESO","GITR","MICA","LOMU"
"19","ANAR","BRHO","CESO","GITR","MICA","MAEL"
"20","ANAR","BRHO","CESO","GITR","MICA","PLNO"
"21","ANAR","BRHO","CESO","GITR","MICA","TWIL"
"22","ANAR","BRHO","CESO","GITR","PLER","TACA"
"23","ANAR","BRHO","CESO","GITR","PLER","THIR"
"24","ANAR","BRHO","CESO","GITR","PLER","ACAM"
"25","ANAR","BRHO","CESO","GITR","PLER","AMME"
"26","ANAR","BRHO","CESO","GITR","PLER","BRNI"
"27","ANAR","BRHO","CESO","GITR","PLER","LOMU"
"28","ANAR","BRHO","CESO","GITR","PLER","MAEL"
"29","ANAR","BRHO","CESO","GITR","PLER","PLNO"
"30","ANAR","BRHO","CESO","GITR","PLER","TWIL"
"31","ANAR","BRHO","CESO","GITR","TACA","THIR"
"32","ANAR","BRHO","CESO","GITR","TACA","ACAM"
"33","ANAR","BRHO","CESO","GITR","TACA","AMME"
"34","ANAR","BRHO","CESO","GITR","TACA","BRNI"
"35","ANAR","BRHO","CESO","GITR","TACA","LOMU"
"36","ANAR","BRHO","CESO","GITR","TACA","MAEL"
"37","ANAR","BRHO","CESO","GITR","TACA","PLNO"
"38","ANAR","BRHO","CESO","GITR","TACA","TWIL"
"39","ANAR","BRHO","CESO","GITR","THIR","ACAM"
"40","ANAR","BRHO","CESO","GITR","THIR","AMME"
"41","ANAR","BRHO","CESO","GITR","THIR","BRNI"
"42","ANAR","BRHO","CESO","GITR","THIR","LOMU"
"43","ANAR","BRHO","CESO","GITR","THIR","MAEL"
"44","ANAR","BRHO","CESO","GITR","THIR","PLNO"
"45","ANAR","BRHO","CESO","GITR","THIR","TWIL"
"46","ANAR","BRHO","CESO","GITR","ACAM","AMME"
"47","ANAR","BRHO","CESO","GITR","ACAM","BRNI"
"48","ANAR","BRHO","CESO","GITR","ACAM","LOMU"
"49","ANAR","BRHO","CESO","GITR","ACAM","MAEL"
"50","ANAR","BRHO","CESO","GITR","ACAM","PLNO"
"51","ANAR","BRHO","CESO","GITR","ACAM","TWIL"
"52","ANAR","BRHO","CESO","GITR","AMME","BRNI"
"53","ANAR","BRHO","CESO","GITR","AMME","LOMU"
"54","ANAR","BRHO","CESO","GITR","AMME","MAEL"
"55","ANAR","BRHO","CESO","GITR","AMME","PLNO"
"56","ANAR","BRHO","CESO","GITR","AMME","TWIL"
"57","ANAR","BRHO","CESO","GITR","BRNI","LOMU"
"58","ANAR","BRHO","CESO","GITR","BRNI","MAEL"
"59","ANAR","BRHO","CESO","GITR","BRNI","PLNO"
"60","ANAR","BRHO","CESO","GITR","BRNI","TWIL"
"61","ANAR","BRHO","CESO","GITR","LOMU","MAEL"
"62","ANAR","BRHO","CESO","GITR","LOMU","PLNO"
"63","ANAR","BRHO","CESO","GITR","LOMU","TWIL"
"64","ANAR","BRHO","CESO","GITR","MAEL","PLNO"
"65","ANAR","BRHO","CESO","GITR","MAEL","TWIL"
"66","ANAR","BRHO","CESO","GITR","PLNO","TWIL"
"67","ANAR","BRHO","CESO","LENI","MICA","PLER"
"68","ANAR","BRHO","CESO","LENI","MICA","TACA"
"69","ANAR","BRHO","CESO","LENI","MICA","THIR"
"70","ANAR","BRHO","CESO","LENI","MICA","ACAM"
"71","ANAR","BRHO","CESO","LENI","MICA","AMME"
"72","ANAR","BRHO","CESO","LENI","MICA","BRNI"
"73","ANAR","BRHO","CESO","LENI","MICA","LOMU"
"74","ANAR","BRHO","CESO","LENI","MICA","MAEL"
"75","ANAR","BRHO","CESO","LENI","MICA","PLNO"
"76","ANAR","BRHO","CESO","LENI","MICA","TWIL"
"77","ANAR","BRHO","CESO","LENI","PLER","TACA"
"78","ANAR","BRHO","CESO","LENI","PLER","THIR"
"79","ANAR","BRHO","CESO","LENI","PLER","ACAM"
"80","ANAR","BRHO","CESO","LENI","PLER","AMME"
"81","ANAR","BRHO","CESO","LENI","PLER","BRNI"
"82","ANAR","BRHO","CESO","LENI","PLER","LOMU"
"83","ANAR","BRHO","CESO","LENI","PLER","MAEL"
"84","ANAR","BRHO","CESO","LENI","PLER","PLNO"
"85","ANAR","BRHO","CESO","LENI","PLER","TWIL"
"86","ANAR","BRHO","CESO","LENI","TACA","THIR"
"87","ANAR","BRHO","CESO","LENI","TACA","ACAM"
"88","ANAR","BRHO","CESO","LENI","TACA","AMME"
"89","ANAR","BRHO","CESO","LENI","TACA","BRNI"
"90","ANAR","BRHO","CESO","LENI","TACA","LOMU"
"91","ANAR","BRHO","CESO","LENI","TACA","MAEL"
"92","ANAR","BRHO","CESO","LENI","TACA","PLNO"
"93","ANAR","BRHO","CESO","LENI","TACA","TWIL"
"94","ANAR","BRHO","CESO","LENI","THIR","ACAM"
"95","ANAR","BRHO","CESO","LENI","THIR","AMME"
"96","ANAR","BRHO","CESO","LENI","THIR","BRNI"
"97","ANAR","BRHO","CESO","LENI","THIR","LOMU"
"98","ANAR","BRHO","CESO","LENI","THIR","MAEL"
"99","ANAR","BRHO","CESO","LENI","THIR","PLNO"
"100","ANAR","BRHO","CESO","LENI","THIR","TWIL"
"101","ANAR","BRHO","CESO","LENI","ACAM","AMME"
"102","ANAR","BRHO","CESO","LENI","ACAM","BRNI"
"103","ANAR","BRHO","CESO","LENI","ACAM","LOMU"
"104","ANAR","BRHO","CESO","LENI","ACAM","MAEL"
"105","ANAR","BRHO","CESO","LENI","ACAM","PLNO"
"106","ANAR","BRHO","CESO","LENI","ACAM","TWIL"
"107","ANAR","BRHO","CESO","LENI","AMME","BRNI"
"108","ANAR","BRHO","CESO","LENI","AMME","LOMU"
"109","ANAR","BRHO","CESO","LENI","AMME","MAEL"
"110","ANAR","BRHO","CESO","LENI","AMME","PLNO"
"111","ANAR","BRHO","CESO","LENI","AMME","TWIL"
"112","ANAR","BRHO","CESO","LENI","BRNI","LOMU"
"113","ANAR","BRHO","CESO","LENI","BRNI","MAEL"
"114","ANAR","BRHO","CESO","LENI","BRNI","PLNO"
"115","ANAR","BRHO","CESO","LENI","BRNI","TWIL"
"116","ANAR","BRHO","CESO","LENI","LOMU","MAEL"
"117","ANAR","BRHO","CESO","LENI","LOMU","PLNO"
"118","ANAR","BRHO","CESO","LENI","LOMU","TWIL"
"119","ANAR","BRHO","CESO","LENI","MAEL","PLNO"
"120","ANAR","BRHO","CESO","LENI","MAEL","TWIL"
"121","ANAR","BRHO","CESO","LENI","PLNO","TWIL"
"122","ANAR","BRHO","CESO","MICA","PLER","TACA"
"123","ANAR","BRHO","CESO","MICA","PLER","THIR"
"124","ANAR","BRHO","CESO","MICA","PLER","ACAM"
"125","ANAR","BRHO","CESO","MICA","PLER","AMME"
"126","ANAR","BRHO","CESO","MICA","PLER","BRNI"
"127","ANAR","BRHO","CESO","MICA","PLER","LOMU"
"128","ANAR","BRHO","CESO","MICA","PLER","MAEL"
"129","ANAR","BRHO","CESO","MICA","PLER","PLNO"
"130","ANAR","BRHO","CESO","MICA","PLER","TWIL"
"131","ANAR","BRHO","CESO","MICA","TACA","THIR"
"132","ANAR","BRHO","CESO","MICA","TACA","ACAM"
"133","ANAR","BRHO","CESO","MICA","TACA","AMME"
"134","ANAR","BRHO","CESO","MICA","TACA","BRNI"
"135","ANAR","BRHO","CESO","MICA","TACA","LOMU"
"136","ANAR","BRHO","CESO","MICA","TACA","MAEL"
"137","ANAR","BRHO","CESO","MICA","TACA","PLNO"
"138","ANAR","BRHO","CESO","MICA","TACA","TWIL"
"139","ANAR","BRHO","CESO","MICA","THIR","ACAM"
"140","ANAR","BRHO","CESO","MICA","THIR","AMME"
"141","ANAR","BRHO","CESO","MICA","THIR","BRNI"
"142","ANAR","BRHO","CESO","MICA","THIR","LOMU"
"143","ANAR","BRHO","CESO","MICA","THIR","MAEL"
"144","ANAR","BRHO","CESO","MICA","THIR","PLNO"
"145","ANAR","BRHO","CESO","MICA","THIR","TWIL"
"146","ANAR","BRHO","CESO","MICA","ACAM","AMME"
"147","ANAR","BRHO","CESO","MICA","ACAM","BRNI"
"148","ANAR","BRHO","CESO","MICA","ACAM","LOMU"
"149","ANAR","BRHO","CESO","MICA","ACAM","MAEL"
"150","ANAR","BRHO","CESO","MICA","ACAM","PLNO"
"151","ANAR","BRHO","CESO","MICA","ACAM","TWIL"
"152","ANAR","BRHO","CESO","MICA","AMME","BRNI"
"153","ANAR","BRHO","CESO","MICA","AMME","LOMU"
"154","ANAR","BRHO","CESO","MICA","AMME","MAEL"
"155","ANAR","BRHO","CESO","MICA","AMME","PLNO"
"156","ANAR","BRHO","CESO","MICA","AMME","TWIL"
"157","ANAR","BRHO","CESO","MICA","BRNI","LOMU"
