"","ACAM","AMME","GITR","LENI","MAEL","MICA","PLER","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,0,1,1,0,1,1,0,0,0,-3.79593194876999,46.5206561010439,2832
"3",0,0,1,1,0,1,1,0,0,0,-3.36372084196566,44.4711260182263,176
"4",0,0,1,1,0,1,1,0,0,0,-2.73998777638009,33.7588335137411,919
"5",0,0,1,1,0,1,1,0,0,0,-2.679224829656,21.4323219112319,2403
"6",0,0,1,1,0,1,1,0,0,0,-2.73844474591007,51.6732765598928,2871
"7",0,0,1,1,0,1,1,0,0,0,-2.32484631748006,48.1619739010146,1471
"8",0,0,1,1,0,1,1,0,0,0,-2.12770181543415,39.4867152659162,2276
"9",0,0,1,1,0,1,1,0,0,0,-5.75247007655642,41.6735366841991,333
"10",0,0,1,1,0,1,1,0,0,0,-3.34722176728028,40.5021668905761,25
"11",0,0,1,1,0,1,1,0,0,0,-7.65202250318402,32.094787846404,345
"12",0,0,1,1,0,1,1,0,0,0,-2.41079134403093,31.8453884657653,1087
"13",0,0,1,1,0,1,1,0,0,0,-2.4045204934597,41.5385156241202,1519
"14",0,0,1,1,0,1,1,0,0,0,-2.20021870670887,49.8762130204595,1375
"15",0,0,1,1,0,1,1,0,0,0,-2.71344652767194,31.9348778640448,2264
"16",0,0,1,1,0,1,1,0,0,0,-2.76389707229799,51.7505976765036,1847
"17",0,0,1,1,0,1,1,0,0,0,-2.139342431594,34.8716641032279,1948
"18",0,0,1,1,0,1,1,0,0,0,-2.15791290914799,39.2507848430225,1111
"19",0,0,1,1,0,1,1,0,0,0,-3.1961986536658,34.2398018622544,2438
"20",0,0,1,1,0,1,1,0,0,0,-3.7928927639148,38.3056879099686,125
"21",0,0,1,1,0,1,1,0,0,0,-4.09063740561822,41.7757701327872,1865
"22",0,0,1,1,0,1,1,0,0,0,-2.61315238338504,53.1763933477061,1429
"23",0,0,1,1,0,1,1,0,0,0,-2.26171282150135,47.0043735102079,3463
"24",0,0,1,1,0,1,1,0,0,0,-2.66731451823481,45.4030543759396,381
"25",0,0,1,1,0,1,1,0,0,0,-2.74360040899737,37.8839303907497,2031
"26",0,0,1,1,0,1,1,0,0,0,-3.59048240257486,49.410002048269,2771
"27",0,0,1,1,0,1,1,0,0,0,-3.38767905548052,39.9606469240397,1899
"28",0,0,1,1,0,1,1,0,0,0,-2.53368771358473,55.1170558493289,3217
"29",0,0,1,1,0,1,1,0,0,0,-2.31545828121015,32.7953757085371,2882
"30",0,0,1,1,0,1,1,0,0,0,-2.67219046790263,32.804638444785,1704
"31",0,0,1,1,0,1,1,0,0,0,-2.93556780350844,46.3686481466002,3282
"32",0,0,1,1,0,1,1,0,0,0,-3.27160406605519,49.1888888537841,55
"33",0,0,1,1,0,1,1,0,0,0,-2.78433967930442,24.9507774560296,1437
"34",0,0,1,1,0,1,1,0,0,0,-3.58936063436899,47.6001421565418,1366
"35",0,0,1,1,0,1,1,0,0,0,-3.02938258166957,55.9529209210955,2173
"36",0,0,1,1,0,1,1,0,0,0,-2.47251430046774,48.2791864029862,2096
"37",0,0,1,1,0,1,1,0,0,0,-3.17741222160164,44.7378899256328,1305
"38",0,0,1,1,0,1,1,0,0,0,-4.04540354898196,32.4110580216868,1052
"39",0,0,1,1,0,1,1,0,0,0,-2.8080633460183,51.1367854387895,2562
"40",0,0,1,1,0,1,1,0,0,0,-2.04847644184252,36.7056768747531,3516
"41",0,0,1,1,0,1,1,0,0,0,-2.60631816350105,48.8959069021447,773
"42",0,0,1,1,0,1,1,0,0,0,-2.40171615432093,48.1610367262826,657
"43",0,0,1,1,0,1,1,0,0,0,-3.51742762716413,27.5590273445144,2201
"44",0,0,1,1,0,1,1,0,0,0,-2.8544916789414,52.0703444320753,3549
"45",0,0,1,1,0,1,1,0,0,0,-3.09010651466509,28.5259907496614,1358
"46",0,0,1,1,0,1,1,0,0,0,-4.20089235805397,42.5614215344774,2080
"47",0,0,1,1,0,1,1,0,0,0,-2.52503719525768,64.4040520119217,3287
"48",0,0,1,1,0,1,1,0,0,0,-3.01971285157779,47.0768544298623,604
"49",0,0,1,1,0,1,1,0,0,0,-3.49590489945813,44.2234206236023,1706
"50",0,0,1,1,0,1,1,0,0,0,-3.96561825436444,38.339037401874,2361
"51",0,0,1,1,0,1,1,0,0,0,-2.26401485214611,44.3369136917835,193
"52",0,0,1,1,0,1,1,0,0,0,-3.07774072364725,46.3537895521177,595
"53",0,0,1,1,0,1,1,0,0,0,-3.7705902531792,38.9345978410496,339
"54",0,0,1,1,0,1,1,0,0,0,-3.00317339252967,41.6824812057371,3230
"55",0,0,1,1,0,1,1,0,0,0,-2.61880459634985,53.0616243683203,2577
"56",0,0,1,1,0,1,1,0,0,0,-2.31942875282147,34.2083923913663,2164
"57",0,0,1,1,0,1,1,0,0,0,-3.01915122393598,43.7783477441025,960
"58",0,0,1,1,0,1,1,0,0,0,-3.68263554002456,52.7436780153855,1800
"59",0,0,1,1,0,1,1,0,0,0,-2.42660818339209,37.2123902705775,1852
"60",0,0,1,1,0,1,1,0,0,0,-2.86437915876466,43.293062466698,257
