"X1","X2","X3","X4","X5"
"ANAR","TACA","BRHO","AMME","CESO"
"ANAR","TACA","BRHO","AMME","PLNO"
"ANAR","TACA","BRHO","AMME","THIR"
"ANAR","TACA","BRHO","AMME","LOMU"
"ANAR","TACA","BRHO","AMME","BRNI"
"ANAR","TACA","BRHO","AMME","GITR"
"ANAR","TACA","BRHO","AMME","LENI"
"ANAR","TACA","BRHO","AMME","ACAM"
"ANAR","TACA","BRHO","AMME","MAEL"
"ANAR","TACA","BRHO","AMME","MICA"
"ANAR","TACA","BRHO","AMME","PLER"
"ANAR","TACA","BRHO","AMME","TWIL"
"ANAR","TACA","BRHO","CESO","PLNO"
"ANAR","TACA","BRHO","CESO","THIR"
"ANAR","TACA","BRHO","CESO","LOMU"
"ANAR","TACA","BRHO","CESO","BRNI"
"ANAR","TACA","BRHO","CESO","GITR"
"ANAR","TACA","BRHO","CESO","LENI"
"ANAR","TACA","BRHO","CESO","ACAM"
"ANAR","TACA","BRHO","CESO","MAEL"
"ANAR","TACA","BRHO","CESO","MICA"
"ANAR","TACA","BRHO","CESO","PLER"
"ANAR","TACA","BRHO","CESO","TWIL"
"ANAR","TACA","BRHO","PLNO","THIR"
"ANAR","TACA","BRHO","PLNO","LOMU"
"ANAR","TACA","BRHO","PLNO","BRNI"
"ANAR","TACA","BRHO","PLNO","GITR"
"ANAR","TACA","BRHO","PLNO","LENI"
"ANAR","TACA","BRHO","PLNO","ACAM"
"ANAR","TACA","BRHO","PLNO","MAEL"
"ANAR","TACA","BRHO","PLNO","MICA"
"ANAR","TACA","BRHO","PLNO","PLER"
"ANAR","TACA","BRHO","PLNO","TWIL"
"ANAR","TACA","BRHO","THIR","LOMU"
"ANAR","TACA","BRHO","THIR","BRNI"
"ANAR","TACA","BRHO","THIR","GITR"
"ANAR","TACA","BRHO","THIR","LENI"
"ANAR","TACA","BRHO","THIR","ACAM"
"ANAR","TACA","BRHO","THIR","MAEL"
"ANAR","TACA","BRHO","THIR","MICA"
"ANAR","TACA","BRHO","THIR","PLER"
"ANAR","TACA","BRHO","THIR","TWIL"
"ANAR","TACA","BRHO","LOMU","BRNI"
"ANAR","TACA","BRHO","LOMU","GITR"
"ANAR","TACA","BRHO","LOMU","LENI"
"ANAR","TACA","BRHO","LOMU","ACAM"
"ANAR","TACA","BRHO","LOMU","MAEL"
"ANAR","TACA","BRHO","LOMU","MICA"
"ANAR","TACA","BRHO","LOMU","PLER"
"ANAR","TACA","BRHO","LOMU","TWIL"
"ANAR","TACA","BRHO","BRNI","GITR"
"ANAR","TACA","BRHO","BRNI","LENI"
"ANAR","TACA","BRHO","BRNI","ACAM"
"ANAR","TACA","BRHO","BRNI","MAEL"
"ANAR","TACA","BRHO","BRNI","MICA"
"ANAR","TACA","BRHO","BRNI","PLER"
"ANAR","TACA","BRHO","BRNI","TWIL"
"ANAR","TACA","BRHO","GITR","LENI"
"ANAR","TACA","BRHO","GITR","ACAM"
"ANAR","TACA","BRHO","GITR","MAEL"
"ANAR","TACA","BRHO","GITR","MICA"
"ANAR","TACA","BRHO","GITR","PLER"
"ANAR","TACA","BRHO","GITR","TWIL"
"ANAR","TACA","BRHO","LENI","ACAM"
"ANAR","TACA","BRHO","LENI","MAEL"
"ANAR","TACA","BRHO","LENI","MICA"
"ANAR","TACA","BRHO","LENI","PLER"
"ANAR","TACA","BRHO","LENI","TWIL"
"ANAR","TACA","BRHO","ACAM","MAEL"
"ANAR","TACA","BRHO","ACAM","MICA"
"ANAR","TACA","BRHO","ACAM","PLER"
"ANAR","TACA","BRHO","ACAM","TWIL"
"ANAR","TACA","BRHO","MAEL","MICA"
"ANAR","TACA","BRHO","MAEL","PLER"
"ANAR","TACA","BRHO","MAEL","TWIL"
"ANAR","TACA","BRHO","MICA","PLER"
"ANAR","TACA","BRHO","MICA","TWIL"
"ANAR","TACA","BRHO","PLER","TWIL"
"ANAR","TACA","AMME","CESO","PLNO"
"ANAR","TACA","AMME","CESO","THIR"
"ANAR","TACA","AMME","CESO","LOMU"
"ANAR","TACA","AMME","CESO","BRNI"
"ANAR","TACA","AMME","CESO","GITR"
"ANAR","TACA","AMME","CESO","LENI"
"ANAR","TACA","AMME","CESO","ACAM"
"ANAR","TACA","AMME","CESO","MAEL"
"ANAR","TACA","AMME","CESO","MICA"
"ANAR","TACA","AMME","CESO","PLER"
"ANAR","TACA","AMME","CESO","TWIL"
"ANAR","TACA","AMME","PLNO","THIR"
"ANAR","TACA","AMME","PLNO","LOMU"
"ANAR","TACA","AMME","PLNO","BRNI"
"ANAR","TACA","AMME","PLNO","GITR"
"ANAR","TACA","AMME","PLNO","LENI"
"ANAR","TACA","AMME","PLNO","ACAM"
"ANAR","TACA","AMME","PLNO","MAEL"
"ANAR","TACA","AMME","PLNO","MICA"
"ANAR","TACA","AMME","PLNO","PLER"
"ANAR","TACA","AMME","PLNO","TWIL"
"ANAR","TACA","AMME","THIR","LOMU"
"ANAR","TACA","AMME","THIR","BRNI"
"ANAR","TACA","AMME","THIR","GITR"
"ANAR","TACA","AMME","THIR","LENI"
"ANAR","TACA","AMME","THIR","ACAM"
"ANAR","TACA","AMME","THIR","MAEL"
"ANAR","TACA","AMME","THIR","MICA"
"ANAR","TACA","AMME","THIR","PLER"
"ANAR","TACA","AMME","THIR","TWIL"
"ANAR","TACA","AMME","LOMU","BRNI"
"ANAR","TACA","AMME","LOMU","GITR"
"ANAR","TACA","AMME","LOMU","LENI"
"ANAR","TACA","AMME","LOMU","ACAM"
"ANAR","TACA","AMME","LOMU","MAEL"
"ANAR","TACA","AMME","LOMU","MICA"
"ANAR","TACA","AMME","LOMU","PLER"
"ANAR","TACA","AMME","LOMU","TWIL"
"ANAR","TACA","AMME","BRNI","GITR"
"ANAR","TACA","AMME","BRNI","LENI"
"ANAR","TACA","AMME","BRNI","ACAM"
"ANAR","TACA","AMME","BRNI","MAEL"
"ANAR","TACA","AMME","BRNI","MICA"
"ANAR","TACA","AMME","BRNI","PLER"
"ANAR","TACA","AMME","BRNI","TWIL"
"ANAR","TACA","AMME","GITR","LENI"
"ANAR","TACA","AMME","GITR","ACAM"
"ANAR","TACA","AMME","GITR","MAEL"
"ANAR","TACA","AMME","GITR","MICA"
"ANAR","TACA","AMME","GITR","PLER"
"ANAR","TACA","AMME","GITR","TWIL"
"ANAR","TACA","AMME","LENI","ACAM"
"ANAR","TACA","AMME","LENI","MAEL"
"ANAR","TACA","AMME","LENI","MICA"
"ANAR","TACA","AMME","LENI","PLER"
"ANAR","TACA","AMME","LENI","TWIL"
"ANAR","TACA","AMME","ACAM","MAEL"
"ANAR","TACA","AMME","ACAM","MICA"
"ANAR","TACA","AMME","ACAM","PLER"
"ANAR","TACA","AMME","ACAM","TWIL"
"ANAR","TACA","AMME","MAEL","MICA"
"ANAR","TACA","AMME","MAEL","PLER"
