"X1","X2","X3","X4","X5","X6","X7","X8"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","THIR","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","ACAM","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","THIR"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","AMME"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","PLER","TACA","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","AMME"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","PLER","THIR","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","PLER","ACAM","AMME"
"ANAR","BRHO","CESO","GITR","LENI","PLER","ACAM","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","PLER","ACAM","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","PLER","ACAM","MAEL"
