"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","ACAM","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","THIR","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","ACAM","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","AMME","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","BRNI","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","LOMU","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","LOMU","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","LOMU","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","MAEL","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","AMME"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","ACAM","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","TACA","THIR","MAEL","PLNO"
