"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","AMME","BRNI"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","AMME","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","AMME","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","AMME","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","AMME","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","ACAM","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","AMME","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","BRNI","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","LOMU","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","LOMU","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","LOMU","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","THIR","MAEL","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","BRNI","LOMU"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","BRNI","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","BRNI","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","BRNI","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","AMME","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","LOMU","MAEL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","LOMU","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","LOMU","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","BRNI","PLNO","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","LOMU","MAEL","PLNO"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","LOMU","MAEL","TWIL"
"ANAR","BRHO","CESO","GITR","LENI","MICA","PLER","TACA","ACAM","LOMU","PLNO","TWIL"
