"","ANAR","BRHO","BRNI","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,1,0,0,0,0,-1.49104604572088,34.9879431339866,2515
"3",1,1,1,1,0,0,0,0,-1.79902303702082,52.8013221607958,2388
"4",1,1,1,1,0,0,0,0,-1.53524183995515,47.0592468194092,926
"5",1,1,1,1,0,0,0,0,-2.48357830416613,35.4819483108591,931
"6",1,1,1,1,0,0,0,0,-1.66242357289127,48.0375816710324,14
"7",1,1,1,1,0,0,0,0,-1.58815244009547,48.8038121380845,434
"8",1,1,1,1,0,0,0,0,-1.72403831858957,39.377494589944,2318
"9",1,1,1,1,0,0,0,0,-2.09177141127303,43.1224607496444,2871
"10",1,1,1,1,0,0,0,0,-1.47795422394326,43.42234614151,1935
"11",1,1,1,1,0,0,0,0,-2.17979767662927,49.1188667261045,2457
"12",1,1,1,1,0,0,0,0,-1.58009528082023,47.6483673689398,2209
"13",1,1,1,1,0,0,0,0,-1.99614418527724,42.0063203831646,2692
"14",1,1,1,1,0,0,0,0,-1.94252123781472,41.764739875811,2582
"15",1,1,1,1,0,0,0,0,-2.17923215602807,34.2560074527244,2957
"16",1,1,1,1,0,0,0,0,-1.79676169722371,38.1993495735593,315
"17",1,1,1,1,0,0,0,0,-2.04588847942156,44.9433635237109,116
"18",1,1,1,1,0,0,0,0,-2.90010712522226,51.8471652944553,3693
"19",1,1,1,1,0,0,0,0,-1.99509466280334,35.8325266361962,455
"20",1,1,1,1,0,0,0,0,-1.4207059086121,24.6185300232826,876
"21",1,1,1,1,0,0,0,0,-2.11973375848733,47.5452529550094,1247
"22",1,1,1,1,0,0,0,0,-4.25129664198157,53.0649215715442,873
"23",1,1,1,1,0,0,0,0,-1.58834948808531,50.0357829188454,3466
"24",1,1,1,1,0,0,0,0,-2.74579218619237,38.5634540387444,646
"25",1,1,1,1,0,0,0,0,-1.84022032099625,47.1363648669652,3037
"26",1,1,1,1,0,0,0,0,-1.26759286915262,53.4293590425522,324
"27",1,1,1,1,0,0,0,0,-2.11391857843189,40.1518867342636,1253
"28",1,1,1,1,0,0,0,0,-2.76695830659752,41.8531306695244,666
"29",1,1,1,1,0,0,0,0,-1.83760624763753,49.2663084895557,2405
"30",1,1,1,1,0,0,0,0,-3.56706662229914,48.693244103064,67
"31",1,1,1,1,0,0,0,0,-0.747671132328806,63.1777441774395,2272
"32",1,1,1,1,0,0,0,0,-1.61656705023252,48.0095189114071,1921
"33",1,1,1,1,0,0,0,0,-1.47639129093618,32.4632870442258,1433
"34",1,1,1,1,0,0,0,0,-1.5730122205293,57.0301434544935,1264
"35",1,1,1,1,0,0,0,0,-3.61746239618255,34.3243056222898,2045
"36",1,1,1,1,0,0,0,0,-4.34018711128468,45.9562567686041,2216
"37",1,1,1,1,0,0,0,0,-1.72471171754967,47.6403970838942,44
"38",1,1,1,1,0,0,0,0,-2.40657581103867,31.6986300198099,2728
"39",1,1,1,1,0,0,0,0,-1.4022003254866,20.3810416579622,2652
"40",1,1,1,1,0,0,0,0,-3.18166867553394,50.2019955157413,948
"41",1,1,1,1,0,0,0,0,-1.31914153014111,56.0852692857295,1341
"42",1,1,1,1,0,0,0,0,-1.96968033878798,47.7415041283214,2492
"43",1,1,1,1,0,0,0,0,-1.56919596332372,34.2633927978011,2914
"44",1,1,1,1,0,0,0,0,-1.43302992937504,45.0748473943724,3701
"45",1,1,1,1,0,0,0,0,-1.83207928920905,39.1227515274926,1239
"46",1,1,1,1,0,0,0,0,-1.70556998551034,36.4127335158607,1926
"47",1,1,1,1,0,0,0,0,-1.38393603557498,58.4265797166352,1885
"48",1,1,1,1,0,0,0,0,-3.44841427893971,42.1096228314077,2037
"49",1,1,1,1,0,0,0,0,-1.57622107170394,45.2187899536144,761
"50",1,1,1,1,0,0,0,0,-1.14578069348632,41.3628238470059,1135
"51",1,1,1,1,0,0,0,0,-1.87069988839891,43.2378696588818,12
