"","ACAM","AMME","GITR","LENI","MAEL","MICA","PLER","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,0,1,1,0,1,1,0,0,0,-2.69423494469606,26.1450151292544,491
"3",0,0,1,1,0,1,1,0,0,0,-2.74448642642048,44.2360081367732,3721
"4",0,0,1,1,0,1,1,0,0,0,-2.92981777382872,43.2405817720869,3402
"5",0,0,1,1,0,1,1,0,0,0,-2.84665320398379,43.5875883289662,368
"6",0,0,1,1,0,1,1,0,0,0,-3.11174077374325,52.6884171253904,1484
"7",0,0,1,1,0,1,1,0,0,0,-2.77074189655363,50.7191529285095,2487
"8",0,0,1,1,0,1,1,0,0,0,-2.17433013556803,39.6130798974442,1608
"9",0,0,1,1,0,1,1,0,0,0,-2.81312055345019,31.796954055126,1462
"10",0,0,1,1,0,1,1,0,0,0,-2.36391707025406,34.6874975077158,3495
"11",0,0,1,1,0,1,1,0,0,0,-2.36131041627141,47.44964559446,3583
"12",0,0,1,1,0,1,1,0,0,0,-2.64407318942892,32.0844468157649,1747
"13",0,0,1,1,0,1,1,0,0,0,-2.30558538140341,28.206741064966,344
"14",0,0,1,1,0,1,1,0,0,0,-2.85250986131487,39.2814846750992,3343
"15",0,0,1,1,0,1,1,0,0,0,-4.71753124634246,42.8877280977237,2191
"16",0,0,1,1,0,1,1,0,0,0,-3.30787156820531,31.1998661492004,2986
"17",0,0,1,1,0,1,1,0,0,0,-2.83833810164247,24.3617265501787,3527
"18",0,0,1,1,0,1,1,0,0,0,-2.78409389973737,29.3850955280532,3748
"19",0,0,1,1,0,1,1,0,0,0,-2.61744550308175,32.9323510817822,930
"20",0,0,1,1,0,1,1,0,0,0,-2.76603235776385,25.861242737524,1560
"21",0,0,1,1,0,1,1,0,0,0,-2.76025585084931,47.2946586598574,1549
"22",0,0,1,1,0,1,1,0,0,0,-2.60495155900333,33.8714364517942,3423
"23",0,0,1,1,0,1,1,0,0,0,-3.04112441312624,25.3006611104911,3464
"24",0,0,1,1,0,1,1,0,0,0,-3.07138586553013,24.6678375081263,1646
"25",0,0,1,1,0,1,1,0,0,0,-3.12520861991917,37.3596349333124,2823
"26",0,0,1,1,0,1,1,0,0,0,-5.19176435024301,34.2042010976449,2022
"27",0,0,1,1,0,1,1,0,0,0,-3.35931189916616,40.4138794028608,1255
"28",0,0,1,1,0,1,1,0,0,0,-2.72561806585453,28.7446790485946,1691
"29",0,0,1,1,0,1,1,0,0,0,-2.61825000504883,29.269431077855,3414
"30",0,0,1,1,0,1,1,0,0,0,-2.66417264746907,47.5377516616976,1362
"31",0,0,1,1,0,1,1,0,0,0,-3.49152064804546,33.3602802910913,2845
"32",0,0,1,1,0,1,1,0,0,0,-3.09846902743364,49.0905931309897,2333
"33",0,0,1,1,0,1,1,0,0,0,-3.36725727466311,33.850954440797,2005
"34",0,0,1,1,0,1,1,0,0,0,-2.72901755765048,23.8208704901962,2937
"35",0,0,1,1,0,1,1,0,0,0,-4.59392693372828,33.7755206159092,1628
"36",0,0,1,1,0,1,1,0,0,0,-2.20154312662351,34.4407010247898,3122
"37",0,0,1,1,0,1,1,0,0,0,-2.42902495805198,31.0080069514405,666
"38",0,0,1,1,0,1,1,0,0,0,-2.7776475036791,44.0308184668693,1125
"39",0,0,1,1,0,1,1,0,0,0,-2.25281215870642,29.0144179203458,33
"40",0,0,1,1,0,1,1,0,0,0,-2.15773283909138,35.0564363921352,1671
"41",0,0,1,1,0,1,1,0,0,0,-2.29211810149462,34.8549220467169,2714
"42",0,0,1,1,0,1,1,0,0,0,-2.81056377707746,24.2167866918903,946
"43",0,0,1,1,0,1,1,0,0,0,-3.1626361281204,52.1615731410634,2718
"44",0,0,1,1,0,1,1,0,0,0,-5.58073624708092,40.9161951517998,2372
"45",0,0,1,1,0,1,1,0,0,0,-2.3493836218421,41.6518040600295,1117
"46",0,0,1,1,0,1,1,0,0,0,-3.76663534793831,20.5052111869896,3186
"47",0,0,1,1,0,1,1,0,0,0,-2.23370066059931,32.0309478456656,2648
"48",0,0,1,1,0,1,1,0,0,0,-2.89253932220311,26.8213416773606,3379
"49",0,0,1,1,0,1,1,0,0,0,-2.91650177231272,27.3815713734133,2742
"50",0,0,1,1,0,1,1,0,0,0,-2.26612792032707,23.726958812409,2336
"51",0,0,1,1,0,1,1,0,0,0,-2.55035625777155,46.4971400657519,267
"52",0,0,1,1,0,1,1,0,0,0,-3.74244875537509,36.1127484091681,1359
"53",0,0,1,1,0,1,1,0,0,0,-3.06567725723469,33.7154751875674,1441
"54",0,0,1,1,0,1,1,0,0,0,-2.09263197996459,38.2902385137645,1962
"55",0,0,1,1,0,1,1,0,0,0,-3.15436177554244,44.2856966809508,3717
"56",0,0,1,1,0,1,1,0,0,0,-2.34300020917311,27.4769704017792,347
"57",0,0,1,1,0,1,1,0,0,0,-1.45203913861381,34.5535286046931,2090
"58",0,0,1,1,0,1,1,0,0,0,-2.94078841771845,36.0950463565875,3406
"59",0,0,1,1,0,1,1,0,0,0,-3.54849966114552,32.8113299497162,2061
"60",0,0,1,1,0,1,1,0,0,0,-3.99562294766004,39.2708552051754,3699
"61",0,0,1,1,0,1,1,0,0,0,-2.78068564632213,46.3481119124872,1385
"62",0,0,1,1,0,1,1,0,0,0,-3.10222708152387,19.904103565957,729
"63",0,0,1,1,0,1,1,0,0,0,-2.3063276699472,38.2236763357664,712
"64",0,0,1,1,0,1,1,0,0,0,-7.85194496142191,44.7088170006457,656
"65",0,0,1,1,0,1,1,0,0,0,-2.55664743439177,30.0085695600177,1397
"66",0,0,1,1,0,1,1,0,0,0,-3.66116741208921,34.116363704438,2074
"67",0,0,1,1,0,1,1,0,0,0,-2.7351465612906,50.5778161965306,857
"68",0,0,1,1,0,1,1,0,0,0,-2.27093695478982,53.0336269146943,2257
"69",0,0,1,1,0,1,1,0,0,0,-4.6249257987005,31.308317427387,1072
"70",0,0,1,1,0,1,1,0,0,0,-3.93424153668228,48.5837126863714,1687
"71",0,0,1,1,0,1,1,0,0,0,-2.80747409714696,38.8178428646614,2575
"72",0,0,1,1,0,1,1,0,0,0,-2.64605642185803,44.7216248481824,3006
"73",0,0,1,1,0,1,1,0,0,0,-3.30481717230374,50.1100415074482,3732
"74",0,0,1,1,0,1,1,0,0,0,-2.3047561177409,36.6255084030793,482
"75",0,0,1,1,0,1,1,0,0,0,-2.58854155662148,60.4332720932782,1341
"76",0,0,1,1,0,1,1,0,0,0,-3.31741586619261,27.7132905879322,3204
"77",0,0,1,1,0,1,1,0,0,0,-2.76087216357134,36.016218681343,1763
"78",0,0,1,1,0,1,1,0,0,0,-2.54891481224544,24.8468599685267,2318
"79",0,0,1,1,0,1,1,0,0,0,-2.54155972596345,50.4572442508989,1059
"80",0,0,1,1,0,1,1,0,0,0,-3.92043469624444,35.8207899504649,1290
"81",0,0,1,1,0,1,1,0,0,0,-3.2541688632731,56.0319250411096,3146
"82",0,0,1,1,0,1,1,0,0,0,-2.67342329391607,45.5107191880087,1594
"83",0,0,1,1,0,1,1,0,0,0,-3.15912905927661,18.7937356421635,2727
"84",0,0,1,1,0,1,1,0,0,0,-2.34289334585475,40.2733537500617,2960
"85",0,0,1,1,0,1,1,0,0,0,-2.45834980333706,46.2968226859183,3738
"86",0,0,1,1,0,1,1,0,0,0,-2.63117077663076,51.275189190028,1567
"87",0,0,1,1,0,1,1,0,0,0,-2.65406297114954,48.0926828670933,1930
"88",0,0,1,1,0,1,1,0,0,0,-2.65224314998301,35.1600567022592,3714
"89",0,0,1,1,0,1,1,0,0,0,-2.56530911535314,35.9154904245608,435
"90",0,0,1,1,0,1,1,0,0,0,-3.17026272610504,36.5203264227446,1461
"91",0,0,1,1,0,1,1,0,0,0,-2.8946015973634,36.7167593723125,2661
"92",0,0,1,1,0,1,1,0,0,0,-2.4178780546429,41.1001609102663,1967
"93",0,0,1,1,0,1,1,0,0,0,-2.03290214326617,34.9485842913072,2087
"94",0,0,1,1,0,1,1,0,0,0,-3.68695964504338,35.2859996903856,2137
"95",0,0,1,1,0,1,1,0,0,0,-2.78703014500871,30.0498381666227,2578
"96",0,0,1,1,0,1,1,0,0,0,-2.88652475761677,53.1240580252696,899
"97",0,0,1,1,0,1,1,0,0,0,-2.93356654272765,35.0555388700923,3030
"98",0,0,1,1,0,1,1,0,0,0,-2.46203815791035,30.5139866760774,2602
"99",0,0,1,1,0,1,1,0,0,0,-1.91257450708265,46.175122860178,394
"100",0,0,1,1,0,1,1,0,0,0,-3.49541417465633,44.0516095359674,3326
"101",0,0,1,1,0,1,1,0,0,0,-2.82512135047325,28.6582498993891,2240
"102",0,0,1,1,0,1,1,0,0,0,-2.7826397119081,25.6662755104942,1979
"103",0,0,1,1,0,1,1,0,0,0,-9.23425556890676,49.3066881872291,1871
"104",0,0,1,1,0,1,1,0,0,0,-2.84023909130989,27.0805776806053,1013
"105",0,0,1,1,0,1,1,0,0,0,-3.2954565275822,30.6423609754814,2509
"106",0,0,1,1,0,1,1,0,0,0,-2.87136376063812,40.0151368383705,602
"107",0,0,1,1,0,1,1,0,0,0,-3.22733820633258,37.0712520057803,2794
"108",0,0,1,1,0,1,1,0,0,0,-2.62525828395637,38.7201281410102,3694
"109",0,0,1,1,0,1,1,0,0,0,-2.8318501361356,34.4589307432582,860
"110",0,0,1,1,0,1,1,0,0,0,-3.75586871681446,44.8914516955226,2978
"111",0,0,1,1,0,1,1,0,0,0,-3.87430461238035,35.3796920443778,1401
"112",0,0,1,1,0,1,1,0,0,0,-2.85859183362437,26.7725101172977,763
"113",0,0,1,1,0,1,1,0,0,0,-2.6667484550822,45.5832354391941,192
"114",0,0,1,1,0,1,1,0,0,0,-2.4231057771141,38.3610976482362,1028
"115",0,0,1,1,0,1,1,0,0,0,-2.97298835228247,48.4719244469581,2111
"116",0,0,1,1,0,1,1,0,0,0,-3.70766108579824,43.9954365164315,532
"117",0,0,1,1,0,1,1,0,0,0,-4.08364088720566,31.0306391028977,2623
"118",0,0,1,1,0,1,1,0,0,0,-3.58740016510713,18.1716662572457,2909
"119",0,0,1,1,0,1,1,0,0,0,-2.68510855617554,40.2798408913748,867
"120",0,0,1,1,0,1,1,0,0,0,-2.67395707410433,26.5881213784969,855
"121",0,0,1,1,0,1,1,0,0,0,-3.8511745097067,29.0061171179021,3071
"122",0,0,1,1,0,1,1,0,0,0,-1.85767395435301,34.9085066228703,1248
"123",0,0,1,1,0,1,1,0,0,0,-2.72827225250132,29.5501461104684,2801
"124",0,0,1,1,0,1,1,0,0,0,-2.27866653926796,45.0682280525716,176
"125",0,0,1,1,0,1,1,0,0,0,-2.41812896430168,48.8808695439548,2142
"126",0,0,1,1,0,1,1,0,0,0,-3.46901927530079,23.3659013953402,1684
"127",0,0,1,1,0,1,1,0,0,0,-2.07451177574942,32.5920848603043,3254
"128",0,0,1,1,0,1,1,0,0,0,-2.80276370771913,32.8196390942182,2873
"129",0,0,1,1,0,1,1,0,0,0,-3.8396966863787,48.0055971987113,3299
"130",0,0,1,1,0,1,1,0,0,0,-2.08243181067041,38.4297176524197,1532
"131",0,0,1,1,0,1,1,0,0,0,-2.23265305367679,42.7751713980012,3099
"132",0,0,1,1,0,1,1,0,0,0,-2.160783035535,15.8762877660345,905
"133",0,0,1,1,0,1,1,0,0,0,-3.23275709035661,49.3003603806991,3152
"134",0,0,1,1,0,1,1,0,0,0,-3.48219034509543,23.8201802250229,1456
"135",0,0,1,1,0,1,1,0,0,0,-2.64854154965695,37.2064159191199,649
"136",0,0,1,1,0,1,1,0,0,0,-1.89497217931384,44.1306824909618,2525
"137",0,0,1,1,0,1,1,0,0,0,-2.12656579063663,43.0961530309406,3279
"138",0,0,1,1,0,1,1,0,0,0,-3.09822735847243,35.4273641519898,369
"139",0,0,1,1,0,1,1,0,0,0,-2.21201327479898,54.7226385714871,1910
"140",0,0,1,1,0,1,1,0,0,0,-3.42362208643064,41.4775052222219,298
"141",0,0,1,1,0,1,1,0,0,0,-1.63918464768285,53.0272203646832,631
"142",0,0,1,1,0,1,1,0,0,0,-2.53291883897521,39.8972475668026,457
"143",0,0,1,1,0,1,1,0,0,0,-2.91526344924243,45.8749290733736,2120
"144",0,0,1,1,0,1,1,0,0,0,-2.40282471539349,38.9075049363323,1374
"145",0,0,1,1,0,1,1,0,0,0,-2.33872907747686,43.4201311571355,1408
"146",0,0,1,1,0,1,1,0,0,0,-2.60567325974881,23.6389196898412,2660
"147",0,0,1,1,0,1,1,0,0,0,-3.10009455137303,44.5266413103208,2619
"148",0,0,1,1,0,1,1,0,0,0,-2.58647249584678,38.877706889309,2350
"149",0,0,1,1,0,1,1,0,0,0,-3.19601237676866,48.8626181433903,1075
"150",0,0,1,1,0,1,1,0,0,0,-2.38277560674468,39.7667531947083,2419
"151",0,0,1,1,0,1,1,0,0,0,-3.16790717010918,32.8618974468275,2508
"152",0,0,1,1,0,1,1,0,0,0,-3.01388302355033,31.3465610641832,790
"153",0,0,1,1,0,1,1,0,0,0,-4.61342631049967,26.204404345475,3646
"154",0,0,1,1,0,1,1,0,0,0,-4.41830416280856,47.1543682967122,865
"155",0,0,1,1,0,1,1,0,0,0,-2.69811315330544,50.6878537126593,2943
"156",0,0,1,1,0,1,1,0,0,0,-3.47899958442888,51.1065288003572,2957
"157",0,0,1,1,0,1,1,0,0,0,-3.60838044952601,46.1438790914714,1798
"158",0,0,1,1,0,1,1,0,0,0,-3.60287560365572,46.3945337809014,40
"159",0,0,1,1,0,1,1,0,0,0,-2.75461151010995,40.6315849799019,774
"160",0,0,1,1,0,1,1,0,0,0,-3.41790811622712,53.7656338279642,1333
"161",0,0,1,1,0,1,1,0,0,0,-2.92153172656195,23.9044273305546,3232
"162",0,0,1,1,0,1,1,0,0,0,-2.57937103691754,40.935563775487,927
