"","GITR","LENI","MICA","PLER","ACAM","AMME","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,1,0,0,0,0,0,-3.79708289743513,40.6164896914755,576
"3",1,1,1,1,0,0,0,0,0,-2.42763368967351,36.2718992090248,2747
"4",1,1,1,1,0,0,0,0,0,-2.09509611962364,49.2086490473101,72
"5",1,1,1,1,0,0,0,0,0,-2.65142893324955,26.5956562680794,3526
"6",1,1,1,1,0,0,0,0,0,-2.15002514446165,48.9627332825557,645
"7",1,1,1,1,0,0,0,0,0,-3.05745510649709,44.5517075156943,873
"8",1,1,1,1,0,0,0,0,0,-2.49029428639425,39.3070786105355,2015
"9",1,1,1,1,0,0,0,0,0,-3.29078867373467,35.7706533008836,1202
"10",1,1,1,1,0,0,0,0,0,-3.93929969343775,55.6154559755469,2511
"11",1,1,1,1,0,0,0,0,0,-2.37349421768351,46.954765706,1968
"12",1,1,1,1,0,0,0,0,0,-2.62173007037164,37.4233041994245,1372
"13",1,1,1,1,0,0,0,0,0,-4.14110828491519,37.6913215246367,1681
"14",1,1,1,1,0,0,0,0,0,-2.71042531696032,35.1533918178206,1335
"15",1,1,1,1,0,0,0,0,0,-2.42948145595897,28.6301480706897,1550
"16",1,1,1,1,0,0,0,0,0,-2.40329677018277,31.1527076380537,1093
"17",1,1,1,1,0,0,0,0,0,-3.05876962838603,38.4923566907716,3142
"18",1,1,1,1,0,0,0,0,0,-2.55862979042846,42.8401193439352,173
"19",1,1,1,1,0,0,0,0,0,-2.81128927948055,36.3393417377485,3167
"20",1,1,1,1,0,0,0,0,0,-2.80160282940074,34.7055576830807,1173
"21",1,1,1,1,0,0,0,0,0,-3.21997282225536,26.4988848548493,3542
"22",1,1,1,1,0,0,0,0,0,-2.12951852966144,35.4567834498227,3267
"23",1,1,1,1,0,0,0,0,0,-4.04325734003891,43.3138971832341,1436
"24",1,1,1,1,0,0,0,0,0,-2.39143606764803,26.583918549446,3502
"25",1,1,1,1,0,0,0,0,0,-2.71061261921145,58.7823449609113,1363
"26",1,1,1,1,0,0,0,0,0,-2.96259938487465,38.6674504529506,3020
"27",1,1,1,1,0,0,0,0,0,-2.44850308675686,32.7713356154137,3048
"28",1,1,1,1,0,0,0,0,0,-2.65921736923937,37.1592688003501,3615
"29",1,1,1,1,0,0,0,0,0,-2.86938815830312,43.196237143755,8
"30",1,1,1,1,0,0,0,0,0,-2.39074619690047,48.9494156661538,2342
"31",1,1,1,1,0,0,0,0,0,-3.62476093134023,39.5186590969868,1981
"32",1,1,1,1,0,0,0,0,0,-2.43346834955539,38.8780024382925,1244
"33",1,1,1,1,0,0,0,0,0,-4.17984148729881,39.3531802470282,286
"34",1,1,1,1,0,0,0,0,0,-3.24200628531401,32.6207585350867,2978
"35",1,1,1,1,0,0,0,0,0,-2.18161154615524,37.1997684739987,213
"36",1,1,1,1,0,0,0,0,0,-2.50187189041306,30.4095894653696,3357
"37",1,1,1,1,0,0,0,0,0,-2.7228552405743,32.3701302949796,1257
"38",1,1,1,1,0,0,0,0,0,-2.74412949811512,35.4056546687077,3181
"39",1,1,1,1,0,0,0,0,0,-2.4944256361166,36.9147922831555,3094
"40",1,1,1,1,0,0,0,0,0,-2.07272289363472,41.4725311348909,3230
"41",1,1,1,1,0,0,0,0,0,-4.51409266140888,48.1242042275181,2557
"42",1,1,1,1,0,0,0,0,0,-5.35048080716049,55.3398329668259,1503
"43",1,1,1,1,0,0,0,0,0,-2.88260303763289,38.9224616834212,1011
"44",1,1,1,1,0,0,0,0,0,-3.03393585201773,40.4086691366579,1924
"45",1,1,1,1,0,0,0,0,0,-2.78576001411222,47.8741533595203,671
"46",1,1,1,1,0,0,0,0,0,-2.70863422722174,48.2331578154142,209
"47",1,1,1,1,0,0,0,0,0,-2.54677843487681,51.1071240164398,2477
"48",1,1,1,1,0,0,0,0,0,-2.28296043121216,49.6768412626491,152
"49",1,1,1,1,0,0,0,0,0,-2.23709806478825,14.5485329702368,2631
"50",1,1,1,1,0,0,0,0,0,-3.51986136221388,27.057597955482,1051
"51",1,1,1,1,0,0,0,0,0,-2.24659691682106,32.0383167836537,3728
"52",1,1,1,1,0,0,0,0,0,-2.63591559409327,24.0289502719243,2751
"53",1,1,1,1,0,0,0,0,0,-2.79095600276121,51.622228881125,1158
"54",1,1,1,1,0,0,0,0,0,-3.25129955814979,50.8772394817198,1703
"55",1,1,1,1,0,0,0,0,0,-3.4013873485245,51.6551350758179,3076
"56",1,1,1,1,0,0,0,0,0,-2.59206857323,42.8887277761548,3380
"57",1,1,1,1,0,0,0,0,0,-2.72166969370223,39.3949574836478,3533
"58",1,1,1,1,0,0,0,0,0,-3.34634495890888,44.0363637860932,1626
