feasibility,niche_diff,fitness_diff,niche_diff_cpd,omega_all,comm_pair_overlap,comm_pair_diff,ACAM,AMME,ANAR,BRHO,BRNI,CESO,GITR,LENI,LOMU,MAEL,MICA,PLER,PLNO,TACA,THIR,TWIL,rainfall,draw,iteration_num
0,-5.219498049,55.4100588,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1979,0
0,-4.889521739,57.78025818,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1871,1
0,-4.664813927,69.93470791,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1013,2
0,-4.484101752,44.00544943,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2509,3
0,-4.168543711,50.38572943,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,602,4
0,-5.796210732,57.17608371,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2794,5
0,-6.027672931,63.63834048,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3406,6
0,-4.197625267,57.3840019,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,860,7
0,-5.904901047,65.12958685,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2978,8
0,-4.981932874,49.57888816,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1401,9
0,-4.75633113,51.89591773,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,763,10
0,-4.414897682,59.25402047,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,192,11
0,-4.018130674,46.91426478,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1028,12
0,-4.481966876,55.3297078,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2111,13
0,-5.091941967,67.72178424,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,532,14
0,-4.239788811,56.20169349,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2623,15
0,-5.381249669,46.90901328,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2909,16
0,-9.741681288,61.20638943,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,867,17
0,-6.201065621,49.46395512,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,855,18
0,-7.126517397,58.99351718,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3071,19
0,-3.288258728,57.64660553,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1248,20
0,-4.68809681,58.92006122,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2801,21
0,-5.89918211,60.04858612,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,176,22
0,-5.405780151,64.08184719,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2142,23
0,-4.383029531,40.93197218,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1684,24
0,-4.241928055,71.31131585,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3254,25
0,-4.668152089,57.49278747,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2873,26
0,-5.117576679,64.90445764,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3299,27
0,-6.795583541,60.43883901,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1532,28
0,-5.436004877,55.2664369,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3099,29
0,-4.638764969,64.2839908,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,905,30
0,-6.142988753,69.50687045,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3152,31
0,-6.567903249,57.87160709,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1456,32
0,-6.403616052,52.6421329,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,649,33
0,-5.315971043,61.93796235,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2525,34
0,-5.763094726,59.95679012,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3279,35
0,-5.708645597,56.36899151,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,369,36
0,-6.746952574,55.07541284,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1910,37
0,-4.798136654,55.92232215,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,298,38
0,-5.731498503,62.46737697,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,631,39
0,-5.1064914,56.50977764,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,457,40
0,-4.644971155,56.98214409,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2120,41
0,-4.846750756,52.82433947,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1374,42
0,-5.75212169,61.71301351,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3609,43
0,-5.591105258,56.15983806,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1408,44
0,-5.627880902,75.39153889,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2660,45
0,-5.813975645,54.68167206,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2619,46
0,-4.83086959,63.21343968,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2350,47
0,-5.265049261,58.00992351,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1075,48
0,-4.84892264,53.02687702,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2419,49
0,-5.425032329,59.2989012,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2508,50
0,-6.131673401,68.31701135,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,790,51
0,-4.307180885,69.54092779,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3746,52
0,-4.622694425,47.14046908,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,865,53
0,-7.509794894,54.94731663,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2943,54
0,-7.87030812,45.10712663,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2957,55
0,-4.723850991,60.08784267,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1798,56
0,-5.010277781,48.67076316,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,40,57
0,-7.830421588,59.60582612,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,774,58
0,-4.461507654,66.43020405,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1333,59
0,-6.268684944,58.08381458,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3232,60
0,-5.914281062,58.13126476,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,927,61
0,-5.007213728,58.15556842,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3652,62
0,-5.302543186,54.02261158,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3352,63
0,-7.11191222,57.59067316,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2165,64
0,-5.610334109,67.59059058,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2610,65
0,-3.661190045,47.61980038,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1709,66
0,-4.002277462,67.38837286,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,151,67
0,-5.388724677,43.94686697,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3217,68
0,-3.981937795,55.60007204,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2347,69
0,-4.014374294,51.22076755,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1817,70
0,-4.058854106,49.99601288,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,129,71
0,-6.018366998,63.4006443,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,68,72
0,-6.001427667,68.58404805,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3550,73
0,-5.00080671,58.13912427,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2397,74
0,-4.659264679,58.00934535,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1007,75
0,-4.130975213,67.67044041,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,636,76
0,-5.454588482,65.89406691,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3544,77
0,-5.635921469,55.7798754,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1133,78
0,-4.625471331,51.02765508,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,102,79
0,-4.981338124,68.8637669,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,757,80
0,-4.562472855,64.37704129,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1959,81
0,-7.671523236,59.9296167,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,990,82
0,-10.04638048,57.28083052,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1858,83
0,-8.75928131,52.03574544,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2333,84
0,-7.288044087,58.33992852,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2353,85
0,-6.407306272,39.77466301,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2460,86
0,-3.579906468,54.97719838,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2332,87
0,-4.80590598,42.84237813,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1585,88
0,-4.5708015,45.24748857,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2956,89
0,-5.331462809,47.82955982,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3740,90
0,-6.460044233,74.06316478,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,872,91
0,-5.5151825,48.39242033,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,668,92
0,-5.995113143,58.33589109,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,1694,93
0,-6.322823611,49.54709828,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2990,94
0,-4.507836799,57.75919753,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2523,95
0,-3.936737415,62.41041334,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,3189,96
0,-5.521007724,54.62527545,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,963,97
0,-2.89314928,61.61776943,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2331,98
0,-5.255487302,58.44173464,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,C,2108,99
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1979,100
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1871,101
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1013,102
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2509,103
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,602,104
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2794,105
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3406,106
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,860,107
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2978,108
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1401,109
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,763,110
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,192,111
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1028,112
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2111,113
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,532,114
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2623,115
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2909,116
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,867,117
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,855,118
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3071,119
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1248,120
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2801,121
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,176,122
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2142,123
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1684,124
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3254,125
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2873,126
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3299,127
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1532,128
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3099,129
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,905,130
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3152,131
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1456,132
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,649,133
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2525,134
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3279,135
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,369,136
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1910,137
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,298,138
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,631,139
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,457,140
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2120,141
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1374,142
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3609,143
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1408,144
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2660,145
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2619,146
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2350,147
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1075,148
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2419,149
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2508,150
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,790,151
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3746,152
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,865,153
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2943,154
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2957,155
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1798,156
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,40,157
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,774,158
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1333,159
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3232,160
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,927,161
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3652,162
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3352,163
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2165,164
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2610,165
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1709,166
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,151,167
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3217,168
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2347,169
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1817,170
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,129,171
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,68,172
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3550,173
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2397,174
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1007,175
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,636,176
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,3544,177
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1133,178
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,102,179
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,757,180
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1959,181
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,990,182
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,1858,183
NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,D,2333,184
