block,plot,sub,species,rep,floret.num,total.biomass.mg,biomass.no.seeds.mg,seeds.mg,inflorescence.weight.g,seeds.num,unique,notes,seeds.per.floret,date,initials,scale.used,,,,,,,,,,,,
5,13,,BRHO,1,4,0.0653,,,0.0253,23,,,5.75,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,2,11,0.2441,,,0.0933,58,,,5.272727273,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,3,10,0.2056,,,0.0763,74,,,7.4,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,4,14,0.4651,,,0.1537,117,,,8.357142857,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,5,8,0.1021,,,0.0401,41,,,5.125,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,6,17,0.4883,,,0.1778,119,,,7,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,7,15,0.3779,,,0.1316,120,,,8,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,8,10,0.1484,,,0.0522,68,,,6.8,,,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,9,12,0.257,,,0.093,88,,,7.333333333,,,SFREC.balance,,,,,,,,,,,,
5,13,,BRHO,10,12,0.305,,,0.0983,77,,,6.416666667,,,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,11,1,0.004,,,0.0006,3,,,3,5/13/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,12,4,0.0566,,,0.0197,23,,,5.75,5/13/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,13,8,0.0947,,,0.0427,45,,,5.625,5/13/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,14,3,0.0595,,,0.0214,18,,,6,5/13/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,15,4,0.509,,,0.0146,20,,,5,5/13/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,16,2,0.0469,,,0.0153,13,,,6.5,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,17,6,0.1198,,,0.0428,43,,,7.166666667,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,18,9,0.1147,,,0.0503,43,,,4.777777778,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,19,11,0.1862,,,0.0517,74,,,6.727272727,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
4,2,,BRHO,20,10,0.2918,,,0.0949,77,,,7.7,5/14/2022,CE,SFREC.balance,,,,,,,,,,,,
