block,plot,sub,dens,bkgrd,phyto,phyto.n.indiv,phyto.unique,complete.sample,inflor.g,seed.num,total.biomass.g,scale.ID,unique.ID,spot.check.complete.sample,spot.check.inflor.g,spot.check.scale,spot.check.notes
16,12,5,H,MAEL,BRHO,2,NA,Y,1.07,NA,NA,E,10724,NA,NA,NA,NA
16,13,5,L,LOMU,BRHO,2,NA,Y,0.185,NA,NA,E,10749,NA,NA,NA,NA
16,34,5,H,AMME,BRHO,3,NA,Y,0.1173,NA,NA,A,11275,NA,NA,NA,NA
16,35,5,L,ANAR,BRHO,1,NA,Y,0.0115,NA,NA,A,11300,NA,NA,NA,NA
16,30,5,L,TWIL-I,BRHO,2,B,Y,0.0759,NA,NA,A,11591,NA,NA,NA,NA
12,24,11,L,PLER,BRHO,1,A,Y,0.0188,NA,NA,A,7880,NA,NA,NA,NA
12,41,11,L,CESO,BRHO,1,B,Y,0.064,NA,NA,A,11755,NA,NA,NA,NA
12,7,11,L,AMME,BRHO,3,NA,Y,0.323,NA,NA,E,7455,NA,NA,NA,NA
12,13,11,H,CESO,BRHO,3,NA,Y,0.046,NA,NA,E,7605,NA,NA,NA,NA
12,27,11,L,LOMU,BRHO,2,NA,Y,0.056,NA,NA,A,7931,NA,NA,NA,NA
5,3,16,H,THIR-I,BRHO,1,A,Y,0.2141,NA,NA,A,3168,Y,0.215,F,NA
5,13,16,H,BRHO,BRHO,1,NA,Y,0.0889,NA,0.304,A,3418,Y,0.089,F,NA
5,20,16,H,TACA,BRHO,3,NA,Y,0.3091,NA,NA,A,3593,Y,0.307,F,NA
5,32,16,L,PLNO,BRHO,1,B,Y,0.0481,NA,NA,A,11673,Y,0.046,F,NA
5,35,16,H,ANAR,BRHO,3,NA,Y,0.2662,NA,NA,A,3968,Y,0.268,F,NA
7,24,8,H,LOMU,BRHO,1,NA,Y,0.0156,16,NA,A,5769,NA,NA,NA,NA
7,10,7,H,TACA,BRHO,2,NA,Y,0.1203,99,NA,A,5442,NA,NA,NA,NA
7,19,8,L,MAEL,BRHO,1,NA,Y,0.196,274,NA,A,5644,NA,NA,NA,NA
7,28,8,H,AMME,BRHO,1,NA,Y,0.0165,16,0.0268,A,5869,NA,NA,NA,NA
7,5,8,L,TWIL-I,BRHO,2,NA,Y,1.083,999,3.1791,A,5318,NA,NA,NA,NA
6,8,1,H,TACA,BRHO,3,NA,Y,0.144,237,NA,E,4344,NA,NA,NA,NA
6,13,1,L,THIR-I,BRHO,3,NA,Y,0.649,NA,NA,A,4469,NA,NA,NA,NA
6,14,1,H,GITR,BRHO,2,NA,Y,0.1111,NA,NA,A,4494,NA,NA,NA,NA
6,11,1,L,BRNI,BRHO,2,NA,Y,0.0605,NA,NA,A,4419,NA,NA,NA,NA
6,21,1,L,CESO,BRHO,2,NA,Y,0.0272,NA,NA,A,4669,NA,NA,NA,NA
3,9,5,H,CESO,BRHO,3,NA,Y,0.697,NA,NA,A,1247,Y,0.699,F,NA
3,15,13,H,ANAR,BRHO,1,B,Y,0.8198,NA,NA,A,11697,Y,0.192,F,Odd that the weights are SO different…even the total biomass is not 0.8g
3,21,22,H,THIR-I,BRHO,2,NA,Y,0.0339,NA,NA,A,1540,Y,0.037,F,NA
3,37,4,H,TWIL-I,BRHO,1,A,Y,0.4944,NA,1.3017,A,1922,Y,0.494,NA,NA
3,38,4,H,PLNO,BRHO,1,A,Y,0.2589,NA,0.7892,A,1947,Y,0.26,NA,NA
15,27,8,H,ACAM,BRHO,2,A,Y,1.077,NA,NA,E,10060,NA,NA,NA,NA
15,31,8,L,CLPU,BRHO,2,A,Y,0.551,NA,NA,E,10160,NA,NA,NA,NA
15,2,8,L,TWIL-I,BRHO,2,NA,Y,0.2231,NA,NA,A,9435,NA,NA,NA,NA
15,23,8,H,GITR,BRHO,1,B,Y,0.024,NA,NA,E,11687,NA,NA,NA,NA
15,34,8,L,AVBA,BRHO,1,A,Y,0.8661,605,NA,A,10235,NA,NA,NA,NA
1,17,16,H,MICA,BRHO,2,NA,Y,0.118,NA,NA,E,392,Y,0.12,F,NA
1,29,7,H,TWIL-I,BRHO,2,A,Y,0.8822,NA,NA,A,683,Y,0.889,F,NA
1,13,20,L,AMME,BRHO,1,NA,Y,0.098,NA,NA,E,296,Y,0.101,F,NA
1,16,25,L,MICA,BRHO,1,NA,Y,0.103,NA,NA,E,376,Y,0.11,F,NA
1,35,18,H,LENI,BRHO,2,NA,Y,0.4497,NA,NA,A,844,Y,0.453,F,NA
