"","unique.ID","treatment","block","plot","sub","bkgrd","dens","phyto","phyto.seed.out","Nbrhood.size","phyto.n.indiv","ACAM","BRNI","ANAR","BRHO","AMME","PLNO","MICA","TACA","CESO","CLPU","LOMU","TWIL","PLER","LENI","AVBA","GITR","MAEL","THIR","combos","weeds","trt"
"1",21,"D",1,1,21,"ACAM","L","ACAM",10.0552113621499,"10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_ACAM_D",1,0
"2",83,"D",1,4,8,"BRNI","L","ACAM",3.29836551051415,"10",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRNI_D",28,0
"3",150,"D",1,6,25,"ACAM","H","ACAM",32.6634254439265,"10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_ACAM_D",19,0
"4",217,"D",1,9,17,"ANAR","H","ACAM",3.10622771378517,"10",1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_ANAR_D",2,0
"5",238,"D",1,10,13,"BRHO","H","ACAM",0.864620085280408,"10",1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",1,0
"6",11647,"D",1,10,13,"BRHO","H","ACAM",2.11351576401877,"10",1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",6,0
"7",294,"D",1,13,18,"AMME","L","ACAM",1.82530906892531,"10",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_AMME_D",25,0
"8",354,"D",1,16,3,"MICA","L","ACAM",7.07707551285075,"10",2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MICA_D",13,0
"9",393,"D",1,17,17,"MICA","H","ACAM",8.39001712383211,"10",1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MICA_D",15,0
"10",517,"D",1,22,16,"TACA","H","ACAM",1.31294161098136,"10",1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,"ACAM_TACA_D",1,0
"11",548,"D",1,23,22,"CESO","L","ACAM",5.6360420373834,"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ACAM_CESO_D",1,0
"12",11807,"D",1,23,22,"CESO","L","ACAM",6.78886881775728,"10",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"ACAM_CESO_D",3,0
"13",563,"D",1,24,12,"CLPU","H","ACAM",6.5326850887853,"10",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ACAM_CLPU_D",7,0
"14",647,"D",1,27,21,"LOMU","H","ACAM",3.58657220560762,"10",1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"ACAM_LOMU_D",0,0
"15",662,"D",1,28,11,"TACA","L","ACAM",17.9008380619166,"10",1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"ACAM_TACA_D",0,0
"16",698,"D",1,29,22,"TWIL","H","ACAM",4.45119229088803,"10",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"ACAM_TWIL_D",31,0
"17",713,"D",1,30,12,"CESO","H","ACAM",4.86749085046748,"10",2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"ACAM_CESO_D",0,0
"18",785,"D",1,33,9,"PLER","H","ACAM",0.608436356308435,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,"ACAM_PLER_D",38,0
"19",11603,"D",1,33,9,"PLER","H","ACAM",0.512367457943945,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,"ACAM_PLER_D",33,0
"20",802,"D",1,34,1,"LOMU","L","ACAM",11.0799462780378,"10",1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"ACAM_LOMU_D",2,0
"21",870,"D",1,36,19,"BRHO","L","ACAM",1.8893550011683,"10",1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",12,0
"22",11651,"D",1,36,19,"BRHO","L","ACAM",4.70737601986,"10",1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",11,0
"23",893,"D",1,37,17,"PLER","L","ACAM",0.736528220794421,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,"ACAM_PLER_D",20,0
"24",850,"D",1,35,24,"LENI","H","ACAM",11.0159003457948,"10",3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,"ACAM_LENI_D",10,0
"25",973,"D",1,40,22,"AVBA","H","ACAM",15.9794600946268,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_AVBA_D",10,0
"26",990,"D",1,41,14,"LENI","L","ACAM",4.03489373130857,"10",2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"ACAM_LENI_D",13,0
"27",1010,"D",1,42,9,"AVBA","L","ACAM",10.0231883960284,"10",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ACAM_AVBA_D",9,0
"28",438,"D",1,19,12,"GITR","H","ACAM",5.53997313901891,"10",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,"ACAM_GITR_D",6,0
"29",1058,"D",3,1,16,"MICA","L","ACAM",0.832597119158911,"10",1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MICA_D",6,0
"30",1145,"D",3,5,3,"TWIL","L","ACAM",30.5499096799077,"10",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"ACAM_TWIL_D",3,0
"31",1215,"D",3,7,23,"PLER","L","ACAM",2.59386025584122,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"ACAM_PLER_D",1,0
"32",11607,"D",3,7,23,"PLER","L","ACAM",4.32310042640204,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"ACAM_PLER_D",5,0
"33",1283,"D",3,10,16,"TACA","H","ACAM",1.21687271261687,"10",1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,"ACAM_TACA_D",0,0
"34",11975,"D",3,10,16,"TACA","H","ACAM",3.68264110397211,"10",2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,"ACAM_TACA_D",0,0
"35",1296,"D",3,11,4,"PLER","H","ACAM",4.38714635864503,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,"ACAM_PLER_D",5,0
"36",11610,"D",3,11,4,"PLER","H","ACAM",8.32597119158911,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,"ACAM_PLER_D",2,0
"37",11611,"D",3,11,4,"PLER","H","ACAM",5.25176644392544,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,"ACAM_PLER_D",0,0
"38",1334,"D",3,12,17,"BRHO","H","ACAM",382.482307355155,"10",1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",1,0
"39",1352,"D",3,13,10,"THIR","L","ACAM",12.0406352616827,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"ACAM_THIR_D",6,0
"40",1434,"D",3,16,17,"GITR","L","ACAM",1.02473491588789,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,"ACAM_GITR_D",2,0
"41",1499,"D",3,20,6,"AVBA","H","ACAM",6.43661619042081,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ACAM_AVBA_D",2,0
"42",1537,"D",3,21,19,"THIR","H","ACAM",1.44103347546735,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"ACAM_THIR_D",0,0
"43",1582,"D",3,23,14,"AMME","L","ACAM",22.3200073866831,"10",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_AMME_D",7,0
"44",1614,"D",3,24,21,"MICA","H","ACAM",45.7608185876186,"10",1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MICA_D",2,0
"45",1640,"D",3,25,22,"ACAM","H","ACAM",3.55454923948612,"10",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_ACAM_D",1,0
"46",1645,"D",3,26,2,"CLPU","H","ACAM",7.42932814018721,"10",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"ACAM_CLPU_D",2,0
"47",1784,"D",3,31,16,"BRNI","L","ACAM",0.160114830607483,"10",1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRNI_D",4,0
"48",1909,"D",3,36,16,"CESO","L","ACAM",3.58657220560762,"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ACAM_CESO_D",7,0
"49",1934,"D",3,37,16,"TWIL","H","ACAM",7.68551186915918,"10",2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"ACAM_TWIL_D",0,0
"50",1984,"D",3,39,16,"AMME","H","ACAM",8.77429271729006,"10",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_AMME_D",5,0
"51",2009,"D",3,40,16,"ACAM","L","ACAM",21.3272954369167,"10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_ACAM_D",0,0
"52",2059,"D",3,42,16,"LOMU","L","ACAM",3.26634254439265,"10",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"ACAM_LOMU_D",0,0
"53",1190,"D",3,6,23,"LENI","L","ACAM",8.13383339486013,"10",3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"ACAM_LENI_D",1,0
"54",2112,"D",4,2,3,"BRHO","H","ACAM",1.24889567873837,"10",1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_BRHO_D",3,0
