"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"1","ACAM","C","lambda",65.3877492747889,58.0461398371648,19.5033025259482,131.487391798907
"2","ACAM","D","lambda",17.0093295566512,14.2301169473765,4.87908585275833,35.6847023772956
"3","AMME","C","lambda",170.170646518793,135.752043094872,17.7221042903917,410.179619152897
"4","AMME","D","lambda",220.511295361372,194.996373513255,69.3612530799229,428.890046125331
"5","ANAR","C","lambda",311.17151373384,304.823020302119,190.787962319225,445.998874167745
"6","ANAR","D","lambda",245.885329491851,234.815438062263,128.305580489823,379.178039924767
"7","BRHO","C","lambda",205.387746726311,197.02666627703,107.863466825937,315.646454538465
"8","BRHO","D","lambda",194.175575241385,187.260333840081,97.0672090882996,291.687681809278
"9","BRNI","C","lambda",663.478437179636,626.730236635703,331.3459346986,1047.58028053301
"10","BRNI","D","lambda",628.279883895758,591.7182661481,286.015992297666,1046.68499533491
"11","CESO","C","lambda",416.989542536772,393.436149823339,181.741359002498,688.791601626211
"12","CESO","D","lambda",359.821651766198,332.1632846449,129.380176593026,645.838618031741
"13","GITR","C","lambda",279.051157324454,271.178740029696,163.076304892461,428.667109715017
"14","GITR","D","lambda",243.452951567247,232.929963498453,131.702692169904,381.678132770676
"15","LENI","C","lambda",383.473231405949,365.027195552777,177.369487059445,633.894093622658
"16","LENI","D","lambda",403.748712358404,385.21430167748,215.898298930501,648.516493357892
"17","LOMU","C","lambda",650.744155316014,634.631475403788,416.608056176823,966.89382074248
"18","LOMU","D","lambda",616.000273093094,596.595620296345,357.051232904622,897.650543008655
"19","MAEL","C","lambda",601.759498105328,561.044687542248,258.646057573413,1071.04311727385
"20","MAEL","D","lambda",580.148842994171,537.952243559613,203.088764855172,1039.13740927934
"21","MICA","C","lambda",228.050419470659,216.506912412416,106.618021083812,362.852721192998
"22","MICA","D","lambda",192.319519568182,179.934359751191,84.2694678512199,335.595641939054
"23","PLER","C","lambda",179.861552981571,175.737135163353,108.285976897285,269.846847855715
"24","PLER","D","lambda",82.2801426114663,77.588150709912,42.9404715176071,136.568475995528
"25","PLNO","C","lambda",277.086243088253,264.591017899243,144.104302062218,440.594329555251
"26","PLNO","D","lambda",158.035358039475,136.665162614053,41.6515143407033,327.529522218463
"27","TACA","C","lambda",248.259796246046,242.58491060167,148.214126526027,360.041519169179
"28","TACA","D","lambda",188.839059184533,180.294953517146,103.364409259351,286.91980196288
"29","THIR","C","lambda",74.6635043725889,70.2642093332813,33.7705600880318,122.087769467399
"30","THIR","D","lambda",26.1158374382426,24.1501431321616,12.2633257114851,43.9796879343367
