"","block","plot","sub","dens","bkgrd","phyto","phyto.n.indiv","phyto.unique","complete.sample","seed.num","total.biomass.g","scale.ID","unique.ID","spot.check.complete.sample","spot.check.total.biomass.g","spot.check.scale","spot.check.notes"
"1",7,1,25,"L","GITR","MICA",1,NA,"Y",NA,0.033,"E",5235,NA,NA,NA,NA
"2",7,37,21,"L","MICA","MICA",1,NA,"Y",NA,0.02,"E",6107,NA,NA,NA,NA
"3",7,8,21,"L","TACA","MICA",1,NA,"Y",NA,0.022,"E",5406,NA,NA,NA,NA
"4",7,14,21,"L","ACAM","MICA",1,NA,"Y",NA,0.336,"E",5556,NA,NA,NA,NA
"5",7,15,21,NA,"Control","MICA",1,NA,"Y",NA,0.049,"E",5581,NA,NA,NA,NA
"6",12,22,8,"H","MICA","MICA",1,NA,"Y",128,0.228,"E",7827,NA,NA,NA,NA
"7",12,6,8,"L","TACA","MICA",2,NA,"Y",20,0.029,"E",7427,NA,NA,NA,NA
"8",12,8,8,"H","BRNI","MICA",3,NA,"Y",NA,0.078,"E",7477,NA,NA,NA,NA
"9",12,29,8,"H","TWIL-I","MICA",2,NA,"Y",99,0.154,"E",7978,NA,NA,NA,NA
"10",12,31,8,"L","THIR-I","MICA",1,NA,"Y",NA,0.337,"E",8028,NA,NA,NA,NA
"11",16,31,3,"L","ACAM","MICA",1,NA,"Y",44,0.044,"E",11198,NA,NA,NA,NA
"12",16,16,3,"H","BRNI","MICA",1,NA,"Y",4,0.0068,"A",10822,NA,NA,NA,NA
"13",16,9,3,"L","TACA","MICA",2,NA,"Y",28,0.034,"A",10647,NA,NA,NA,NA
"14",16,21,3,"L","CESO","MICA",1,NA,"Y",7,0.0072,"A",10947,NA,NA,NA,NA
"15",16,14,3,"L","MICA","MICA",1,NA,"Y",NA,0.4125,"A",10772,NA,NA,NA,NA
"16",1,20,14,"L","THIR-I","MICA",1,NA,"Y",NA,0.0799,"A",465,NA,NA,NA,NA
"17",1,32,19,"L","MAEL","MICA",2,NA,"Y",NA,0.6371,"A",770,NA,NA,NA,NA
"18",1,1,20,"L","ACAM","MICA",1,"B","Y",NA,0.8221,"A",11548,NA,NA,NA,NA
"19",1,13,24,"L","AMME","MICA",2,NA,"Y",NA,0.5564,"A",300,NA,NA,NA,NA
"20",1,28,17,"L","TACA","MICA",1,"A","Y",NA,0.4761,"A",668,NA,NA,NA,NA
"21",3,19,24,"L","ANAR","MICA",3,NA,"Y",NA,1.05,"E",1492,NA,NA,NA,NA
"22",3,4,10,"L","TACA","MICA",1,"A","Y",NA,0.045,"E",1127,NA,NA,NA,NA
"23",3,41,24,"L","AVBA","MICA",1,NA,"Y",NA,0.27,"E",2042,NA,NA,NA,NA
"24",3,1,8,"L","MICA","MICA",1,NA,"Y",NA,0.041,"E",1050,NA,NA,NA,NA
"25",3,10,10,"H","TACA","MICA",1,NA,"Y",NA,0.149,"E",1277,NA,NA,NA,NA
"26",14,25,19,"L","MICA","MICA",1,NA,"Y",NA,0.1579,"A",8955,NA,NA,NA,NA
"27",14,20,19,"H","LOMU","MICA",3,NA,"Y",NA,0.0601,"A",8830,NA,NA,NA,NA
"28",14,2,19,"L","LOMU","MICA",1,NA,"Y",NA,0.0226,"A",8380,NA,NA,NA,NA
"29",14,6,19,NA,"Control","MICA",2,NA,"Y",NA,1.579,"E",8480,NA,NA,NA,NA
"30",14,19,19,"H","BRNI","MICA",2,NA,"Y",NA,0.0197,"A",8805,NA,NA,NA,NA
"31",8,40,14,"L","LOMU","MICA",3,NA,"Y",NA,0.557,"E",7217,NA,NA,NA,NA
"32",8,22,14,"H","AVBA","MICA",1,"A","Y",NA,0.1558,"A",6767,NA,NA,NA,NA
"33",8,32,14,"H","ACAM","MICA",1,"B","Y",NA,0.3357,"A",11553,NA,NA,NA,NA
"34",8,7,10,"L","ACAM","MICA",1,"B","Y",NA,0.1395,"A",11718,NA,NA,NA,NA
"35",8,29,14,"H","BRHO","MICA",1,NA,"Y",NA,0.011,"E",6942,NA,NA,NA,NA
"36",15,6,3,"L","LOMU","MICA",2,NA,"Y",NA,0.1757,"A",9530,NA,NA,NA,NA
"37",15,8,3,"H","LOMU","MICA",3,NA,"Y",NA,0.2291,"A",9580,NA,NA,NA,NA
"38",15,39,3,"L","ANAR","MICA",3,NA,"Y",NA,0.7411,"A",10355,NA,NA,NA,NA
"39",15,30,3,"L","TACA","MICA",2,NA,"Y",NA,0.1769,"A",10130,NA,NA,NA,NA
"40",15,35,3,"L","THIR-I","MICA",2,NA,"Y",NA,1.0269,"A",10255,NA,NA,NA,NA
