"","block","plot","background"
"1",1,1,"ERO_BOT"
"2",1,2,"ACM_AME"
"3",1,3,"BRO_HOR"
"4",1,4,"MAD_ELE"
"5",1,5,"ANA_ARV"
"6",1,6,"TRI_WIL"
"7",1,7,"LOL_MUL"
"8",1,8,"CLA_PUR"
"9",1,9,"LEP_NIT"
"10",1,10,"GIL_TRI"
"11",1,11,"PLA_ERE"
"12",1,12,"TRI_HIR"
"13",2,1,"LOL_MUL"
"14",2,2,"ANA_ARV"
"15",2,3,"TRI_HIR"
"16",2,4,"ACM_AME"
"17",2,5,"BRO_HOR"
"18",2,6,"TRI_WIL"
"19",2,7,"PLA_ERE"
"20",2,8,"ERO_BOT"
"21",2,9,"MAD_ELE"
"22",2,10,"GIL_TRI"
"23",2,11,"LEP_NIT"
"24",2,12,"CLA_PUR"
"25",3,1,"CLA_PUR"
"26",3,2,"ANA_ARV"
"27",3,3,"TRI_HIR"
"28",3,4,"LOL_MUL"
"29",3,5,"PLA_ERE"
"30",3,6,"ERO_BOT"
"31",3,7,"BRO_HOR"
"32",3,8,"TRI_WIL"
"33",3,9,"LEP_NIT"
"34",3,10,"GIL_TRI"
"35",3,11,"ACM_AME"
"36",3,12,"MAD_ELE"
"37",4,1,"LEP_NIT"
"38",4,2,"ERO_BOT"
"39",4,3,"GIL_TRI"
"40",4,4,"PLA_ERE"
"41",4,5,"MAD_ELE"
"42",4,6,"BRO_HOR"
"43",4,7,"ACM_AME"
"44",4,8,"CLA_PUR"
"45",4,9,"TRI_WIL"
"46",4,10,"LOL_MUL"
"47",4,11,"ANA_ARV"
"48",4,12,"TRI_HIR"
"49",5,1,"LOL_MUL"
"50",5,2,"ACM_AME"
"51",5,3,"MAD_ELE"
"52",5,4,"TRI_WIL"
"53",5,5,"ERO_BOT"
"54",5,6,"CLA_PUR"
"55",5,7,"GIL_TRI"
"56",5,8,"TRI_HIR"
"57",5,9,"ANA_ARV"
"58",5,10,"PLA_ERE"
"59",5,11,"LEP_NIT"
"60",5,12,"BRO_HOR"
"61",6,1,"ACM_AME"
"62",6,2,"CLA_PUR"
"63",6,3,"ANA_ARV"
"64",6,4,"GIL_TRI"
"65",6,5,"TRI_HIR"
"66",6,6,"TRI_WIL"
"67",6,7,"LEP_NIT"
"68",6,8,"MAD_ELE"
"69",6,9,"ERO_BOT"
"70",6,10,"PLA_ERE"
"71",6,11,"LOL_MUL"
"72",6,12,"BRO_HOR"
"73",7,1,"ANA_ARV"
"74",7,2,"MAD_ELE"
"75",7,3,"ERO_BOT"
"76",7,4,"TRI_WIL"
